artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.3267082870505549,1.3267082870505549,0.0,decreasing,C,72.581,50000,20000,2,0.654,628.782931,0.3153350725454118,0.2340350460651902,0.549370118610602,increasing,2,151,0,20000,pass,0.05,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.0366934139447275,1.0366934139447275,0.0,decreasing,C,72.581,50000,20000,3,0.654,628.782931,0.3153350725454118,0.2340350460651902,0.549370118610602,increasing,2,151,0,20000,pass,0.05,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.0366934139447275,1.0366934139447275,0.0,decreasing,C,72.581,50000,20000,4,0.654,628.782931,0.3153350725454118,0.2340350460651902,0.549370118610602,increasing,2,151,0,20000,pass,0.05,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.5812124805710766,1.5812124805710766,0.0,decreasing,C,72.581,50000,20000,2,0.654,628.782931,0.2881644669695342,0.2744965094004465,0.5626609763699807,increasing,2,151,0,20000,pass,0.1,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.5812124805710766,1.5812124805710766,0.0,decreasing,C,72.581,50000,20000,3,0.654,628.782931,0.2881644669695342,0.2744965094004465,0.5626609763699807,increasing,2,151,0,20000,pass,0.1,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.5812124805710766,1.5812124805710766,0.0,decreasing,C,72.581,50000,20000,4,0.654,628.782931,0.2881644669695342,0.2744965094004465,0.5626609763699807,increasing,2,151,0,20000,pass,0.1,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-0.719178874511267,0.719178874511267,0.0,decreasing,C,72.581,50000,20000,2,0.654,628.782931,0.013604441700206027,0.5982590285439299,0.6118634702441359,increasing,2,151,0,20000,pass,0.25,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-0.719178874511267,0.719178874511267,0.0,decreasing,C,72.581,50000,20000,3,0.654,628.782931,0.013604441700206027,0.5982590285439299,0.6118634702441359,increasing,2,151,0,20000,pass,0.25,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-0.719178874511267,0.719178874511267,0.0,decreasing,C,72.581,50000,20000,4,0.654,628.782931,0.013604441700206027,0.5982590285439299,0.6118634702441359,increasing,2,151,0,20000,pass,0.25,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-0.7166835363722536,0.7166835363722536,0.0,decreasing,C,72.581,50000,20000,2,0.654,628.782931,0.039408905021853013,0.6468739138125686,0.6862828188344217,increasing,2,151,0,20000,pass,0.5,2e-10,25.0,2,pass
