artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,72.581,2,0.654,573.482648,-0.32279779295512645,0.868825149772449,0.5460273568173225,decreasing,2,151,0,review,0.05,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,72.581,2,0.654,573.482648,-0.3144358293619147,0.868825149772449,0.5543893204105342,decreasing,2,151,0,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,72.581,2,0.654,573.482648,-0.27591636745874726,0.868825149772449,0.5929087823137017,decreasing,2,151,0,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_participation_increase,1.0,-0.525466359524693,0.525466359524693,0.0,decreasing,C,72.581,2,0.654,573.482648,-0.029775582094273112,0.9049242694326226,0.8751486873383495,decreasing,2,151,0,review,1.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_participation_increase,1.0,-0.4306904039879092,0.4306904039879092,0.0,decreasing,C,72.581,2,0.654,573.482648,-0.0006248880260791845,0.9317472715970917,0.9311223835710125,decreasing,2,151,0,review,2.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,3,0.654,573.482648,-0.32279779295512645,0.868825149772449,0.5460273568173225,decreasing,2,151,0,review,0.05,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,4,0.654,573.482648,-0.32279779295512645,0.868825149772449,0.5460273568173225,decreasing,2,151,0,review,0.05,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,3,0.654,573.482648,-0.3144358293619147,0.868825149772449,0.5543893204105342,decreasing,2,151,0,review,0.1,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,4,0.654,573.482648,-0.3144358293619147,0.868825149772449,0.5543893204105342,decreasing,2,151,0,review,0.1,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,3,0.654,573.482648,-0.27591636745874726,0.868825149772449,0.5929087823137017,decreasing,2,151,0,review,0.25,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,4,0.654,573.482648,-0.27591636745874726,0.868825149772449,0.5929087823137017,decreasing,2,151,0,review,0.25,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.2581998929942493,0.7382616437436021,0.9964615367378514,increasing,C,72.581,2,0.654,573.482648,-0.20575038404881052,0.868825149772449,0.6630747657236384,decreasing,2,151,0,review,0.5,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.2554074359013552,0.7382616437436021,0.9936690796449573,increasing,C,72.581,2,0.654,573.482648,-0.13037410883403666,0.868825149772449,0.7384510409384123,decreasing,2,151,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,1.211174708527642,0.7382616437436021,1.9494363522712441,increasing,C,72.581,2,0.654,573.482648,-0.07388620443651683,0.868825149772449,0.7949389453359321,decreasing,2,151,0,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,1.0,0.24707141657674603,0.7382616437436021,0.9853330603203482,increasing,C,72.581,2,0.654,573.482648,-0.02045202758357223,0.868825149772449,0.8483731221888767,decreasing,2,151,0,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,C,72.581,3,0.654,573.482648,-0.20575038404881052,0.868825149772449,0.6630747657236384,decreasing,2,151,0,review,0.5,0,pass
