artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,candidate_pass,1.0,-0.525466359524693,0.525466359524693,0.0,decreasing,C,63.462,2,0.654,493.878095,0.01835448694037023,0.9049242694326226,0.9232787563729928,increasing,2,151,0,pass,1.5,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,63.462,2,0.654,493.878095,-0.25480602611784064,0.868825149772449,0.6140191236546083,decreasing,2,151,0,review,0.05,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,63.462,2,0.654,493.878095,-0.24328375378533673,0.868825149772449,0.6255413959871122,decreasing,2,151,0,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,63.462,2,0.654,493.878095,-0.20353560428699824,0.868825149772449,0.6652895454854507,decreasing,2,151,0,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_participation_increase,1.0,-0.7382616437436021,0.7382616437436021,0.0,decreasing,C,63.462,2,0.654,493.878095,-0.13422431892066577,0.868825149772449,0.7346008308517832,decreasing,2,151,0,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,0.6441884929468081,0.7382616437436021,1.3824501366904103,increasing,C,63.462,2,0.654,493.878095,0.017896152798444143,0.868825149772449,0.8867213025708931,increasing,2,151,0,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,0.017896152798444143,0.868825149772449,0.8867213025708931,increasing,2,151,0,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,0.017896152798444143,0.868825149772449,0.8867213025708931,increasing,2,151,0,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,0.01835448694037023,0.9049242694326226,0.9232787563729928,increasing,2,151,0,review,1.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,0.01835448694037023,0.9049242694326226,0.9232787563729928,increasing,2,151,0,review,1.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,0.8082672061435909,0.4306904039879092,1.2389576101315,increasing,C,63.462,2,0.654,493.878095,0.01915104983054383,0.9317472715970917,0.9508983214276355,increasing,2,151,0,review,2.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,1.0,1.2389576101315,0.0,1.2389576101315,increasing,C,63.462,3,0.654,493.878095,0.01915104983054383,0.9317472715970917,0.9508983214276355,increasing,2,151,0,review,2.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_d1_decrease,0.8333333333333334,0.7369120554240904,0.0,0.7369120554240904,increasing,C,63.462,4,0.654,493.878095,0.01915104983054383,0.9317472715970917,0.9508983214276355,increasing,2,151,0,review,2.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,-0.25480602611784064,0.868825149772449,0.6140191236546083,decreasing,2,151,0,review,0.05,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,-0.25480602611784064,0.868825149772449,0.6140191236546083,decreasing,2,151,0,review,0.05,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,-0.24328375378533673,0.868825149772449,0.6255413959871122,decreasing,2,151,0,review,0.1,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,-0.24328375378533673,0.868825149772449,0.6255413959871122,decreasing,2,151,0,review,0.1,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,-0.20353560428699824,0.868825149772449,0.6652895454854507,decreasing,2,151,0,review,0.25,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,-0.20353560428699824,0.868825149772449,0.6652895454854507,decreasing,2,151,0,review,0.25,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,-0.13422431892066577,0.868825149772449,0.7346008308517832,decreasing,2,151,0,review,0.5,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,-0.13422431892066577,0.868825149772449,0.7346008308517832,decreasing,2,151,0,review,0.5,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.25602864599203556,0.7382616437436021,0.9942902897356377,increasing,C,63.462,2,0.654,493.878095,-0.07811691911773377,0.868825149772449,0.7907082306547152,decreasing,2,151,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,-0.07811691911773377,0.868825149772449,0.7907082306547152,decreasing,2,151,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,-0.07811691911773377,0.868825149772449,0.7907082306547152,decreasing,2,151,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.6561725643598922,0.7382616437436021,1.3944342081034944,increasing,C,63.462,2,0.654,493.878095,-0.02319218189015515,0.868825149772449,0.8456329678822938,decreasing,2,151,0,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,493.878095,-0.02319218189015515,0.868825149772449,0.8456329678822938,decreasing,2,151,0,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,493.878095,-0.02319218189015515,0.868825149772449,0.8456329678822938,decreasing,2,151,0,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,candidate_pass,1.0,-1.3596051962097315,1.3596051962097315,0.0,decreasing,C,63.462,2,0.654,496.225566,0.08792526795844735,0.49198541198235546,0.5799106799408028,increasing,2,151,1,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,candidate_pass,1.0,-1.3586283788251257,1.3586283788251257,0.0,decreasing,C,63.462,2,0.654,496.225566,0.09072698726109152,0.5080526690270005,0.598779656288092,increasing,2,151,1,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,candidate_pass,1.0,-1.0228691958759488,1.0228691958759488,0.0,decreasing,C,63.462,2,0.654,496.225566,0.021877820983654095,0.6231732180813077,0.6450510390649618,increasing,2,151,1,pass,0.25,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,candidate_pass,1.0,-1.011570972007107,1.011570972007107,0.0,decreasing,C,63.462,2,0.654,496.225566,0.05030056725534615,0.6556027824173498,0.705903349672696,increasing,2,151,1,pass,0.5,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,candidate_pass,1.0,-0.6563126169445563,0.6563126169445563,0.0,decreasing,C,63.462,3,0.654,496.225566,0.04910120254876871,0.7101157148221059,0.7592169173708746,increasing,2,151,1,pass,0.75,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,candidate_pass,1.0,-0.6563126169445563,0.6563126169445563,0.0,decreasing,C,63.462,4,0.654,496.225566,0.04910120254876871,0.7101157148221059,0.7592169173708746,increasing,2,151,1,pass,0.75,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,496.225566,0.08792526795844735,0.49198541198235546,0.5799106799408028,increasing,2,151,1,review,0.05,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,0.08792526795844735,0.49198541198235546,0.5799106799408028,increasing,2,151,1,review,0.05,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,496.225566,0.09072698726109152,0.5080526690270005,0.598779656288092,increasing,2,151,1,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,0.09072698726109152,0.5080526690270005,0.598779656288092,increasing,2,151,1,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,496.225566,0.021877820983654095,0.6231732180813077,0.6450510390649618,increasing,2,151,1,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,0.021877820983654095,0.6231732180813077,0.6450510390649618,increasing,2,151,1,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,3,0.654,496.225566,0.05030056725534615,0.6556027824173498,0.705903349672696,increasing,2,151,1,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,0.05030056725534615,0.6556027824173498,0.705903349672696,increasing,2,151,1,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.6827215485450328,0.7187587433576176,1.4014802919026503,increasing,C,63.462,2,0.654,496.225566,0.04910120254876871,0.7101157148221059,0.7592169173708746,increasing,2,151,1,review,0.75,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,0.1305734262267123,0.8484829457482851,0.9790563719749974,increasing,C,63.462,2,0.654,496.225566,0.04889344893241787,0.7503869321457431,0.799280381078161,increasing,2,151,1,review,1.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,1.0,1.2654734988113208,0.41670217236009566,1.6821756711714164,increasing,C,63.462,2,0.654,496.225566,0.0004149399783431873,0.829400287328393,0.8298152273067362,increasing,2,151,1,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,0.8333333333333334,0.31487348469189025,0.6641828872831071,0.9790563719749974,increasing,C,63.462,3,0.654,496.225566,0.04889344893241787,0.7503869321457431,0.799280381078161,increasing,2,151,1,review,1.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,0.8333333333333334,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,0.04889344893241787,0.7503869321457431,0.799280381078161,increasing,2,151,1,review,1.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,0.8333333333333334,0.0,0.0,0.0,flat,C,63.462,3,0.654,496.225566,0.0004149399783431873,0.829400287328393,0.8298152273067362,increasing,2,151,1,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_d1_decrease,0.8333333333333334,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,0.0004149399783431873,0.829400287328393,0.8298152273067362,increasing,2,151,1,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_physics_calibration,1.0,1.5662604926844126,0.28476832666900737,1.85102881935342,increasing,C,63.462,2,0.654,496.225566,-0.04296489858040742,0.9040021140585698,0.8610372154781624,decreasing,2,151,1,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_physics_calibration,1.0,1.532671600860767,0.17927197181556295,1.71194357267633,increasing,C,63.462,2,0.654,496.225566,-0.0589630447096845,0.9735488502875345,0.91458580557785,decreasing,2,151,1,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_physics_calibration,0.8333333333333334,0.944976960194693,0.0,0.944976960194693,increasing,C,63.462,3,0.654,496.225566,-0.04296489858040742,0.9040021140585698,0.8610372154781624,decreasing,2,151,1,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,-0.04296489858040742,0.9040021140585698,0.8610372154781624,decreasing,2,151,1,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_physics_calibration,0.8333333333333334,0.8995978428679566,0.0,0.8995978428679566,increasing,C,63.462,3,0.654,496.225566,-0.0589630447096845,0.9735488502875345,0.91458580557785,decreasing,2,151,1,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed1,needs_physics_calibration,0.6666666666666666,0.0,0.0,0.0,flat,C,63.462,4,0.654,496.225566,-0.0589630447096845,0.9735488502875345,0.91458580557785,decreasing,2,151,1,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,candidate_pass,1.0,-1.1592771855944781,1.1592771855944781,0.0,decreasing,C,63.462,2,0.654,586.646265,0.06508292468119092,0.4735352928888752,0.5386182175700661,increasing,2,151,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,candidate_pass,1.0,-0.6775065305680036,0.6775065305680036,0.0,decreasing,C,63.462,3,0.654,586.646265,0.06508292468119092,0.4735352928888752,0.5386182175700661,increasing,2,151,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,candidate_pass,1.0,-0.6775065305680036,0.6775065305680036,0.0,decreasing,C,63.462,4,0.654,586.646265,0.06508292468119092,0.4735352928888752,0.5386182175700661,increasing,2,151,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,candidate_pass,1.0,-0.9859505699627173,0.9859505699627173,0.0,decreasing,C,63.462,2,0.654,586.646265,0.022725728254095245,0.5247256297114097,0.5474513579655049,increasing,2,151,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,candidate_pass,1.0,-0.6830330218236078,0.6830330218236078,0.0,decreasing,C,63.462,3,0.654,586.646265,0.022725728254095245,0.5247256297114097,0.5474513579655049,increasing,2,151,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,candidate_pass,1.0,-0.6830330218236078,0.6830330218236078,0.0,decreasing,C,63.462,4,0.654,586.646265,0.022725728254095245,0.5247256297114097,0.5474513579655049,increasing,2,151,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.7872626235172642,0.7872626235172642,0.0,decreasing,C,63.462,2,0.654,586.646265,-0.059005741245041876,0.6558767129171665,0.5968709716721247,decreasing,2,151,2,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.10708490931640299,0.10708490931640299,0.0,decreasing,C,63.462,3,0.654,586.646265,-0.059005741245041876,0.6558767129171665,0.5968709716721247,decreasing,2,151,2,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.10708490931640299,0.10708490931640299,0.0,decreasing,C,63.462,4,0.654,586.646265,-0.059005741245041876,0.6558767129171665,0.5968709716721247,decreasing,2,151,2,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.4910492865763156,0.4910492865763156,0.0,decreasing,C,63.462,2,0.654,586.646265,-0.14574806304937626,0.8095963357960019,0.6638482727466256,decreasing,2,151,2,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.14235993528557309,0.14235993528557309,0.0,decreasing,C,63.462,3,0.654,586.646265,-0.14574806304937626,0.8095963357960019,0.6638482727466256,decreasing,2,151,2,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.14235993528557309,0.14235993528557309,0.0,decreasing,C,63.462,4,0.654,586.646265,-0.14574806304937626,0.8095963357960019,0.6638482727466256,decreasing,2,151,2,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.14235993528557309,0.14235993528557309,0.0,decreasing,C,63.462,3,0.654,586.646265,-0.08695179353256144,0.8095963357960019,0.7226445422634404,decreasing,2,151,2,review,0.75,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,needs_participation_increase,1.0,-0.14235993528557309,0.14235993528557309,0.0,decreasing,C,63.462,4,0.654,586.646265,-0.08695179353256144,0.8095963357960019,0.7226445422634404,decreasing,2,151,2,review,0.75,1,pass
