artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.6508145200608705,0.6508145200608705,0.0,decreasing,C,72.581,100000,40000,2,0.654,536.402418,0.16485085935530058,0.45967213041923766,0.6245229897745382,increasing,2,151,0,40000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.3318003837200598,0.3318003837200598,0.0,decreasing,C,72.581,100000,40000,3,0.654,536.402418,0.16485085935530058,0.45967213041923766,0.6245229897745382,increasing,2,151,0,40000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.27418033791045726,0.27418033791045726,0.0,decreasing,C,72.581,100000,40000,2,0.654,536.402418,0.12722176852406375,0.5071927585512848,0.6344145270753485,increasing,2,151,0,40000,pass,0.1,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.3318003837200598,0.3318003837200598,0.0,decreasing,C,72.581,100000,40000,3,0.654,536.402418,0.12722176852406375,0.5071927585512848,0.6344145270753485,increasing,2,151,0,40000,pass,0.1,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.27418033791045726,0.27418033791045726,0.0,decreasing,C,72.581,100000,40000,2,0.654,536.402418,0.15837915282697068,0.5071927585512848,0.6655719113782554,increasing,2,151,0,40000,pass,0.25,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.3318003837200598,0.3318003837200598,0.0,decreasing,C,72.581,100000,40000,3,0.654,536.402418,0.15837915282697068,0.5071927585512848,0.6655719113782554,increasing,2,151,0,40000,pass,0.25,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.3045426419005865,0.3045426419005865,0.0,decreasing,C,72.581,100000,40000,2,0.654,536.402418,0.19671377696647008,0.5488771935846339,0.745590970551104,increasing,2,151,0,40000,pass,0.5,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.3727971880852395,0.3727971880852395,0.0,decreasing,C,72.581,100000,40000,3,0.654,536.402418,0.19671377696647008,0.5488771935846339,0.745590970551104,increasing,2,151,0,40000,pass,0.5,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.3423323250615779,0.3423323250615779,0.0,decreasing,C,72.581,100000,40000,2,0.654,536.402418,0.20991261442399145,0.5992026371117428,0.8091152515357343,increasing,2,151,0,40000,pass,0.75,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.4237394464406894,0.4237394464406894,0.0,decreasing,C,72.581,100000,40000,3,0.654,536.402418,0.20991261442399145,0.5992026371117428,0.8091152515357343,increasing,2,151,0,40000,pass,0.75,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,100000,40000,4,0.654,536.402418,0.16485085935530058,0.45967213041923766,0.6245229897745382,increasing,2,151,0,40000,review,0.05,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,100000,40000,4,0.654,536.402418,0.12722176852406375,0.5071927585512848,0.6344145270753485,increasing,2,151,0,40000,review,0.1,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,100000,40000,4,0.654,536.402418,0.15837915282697068,0.5071927585512848,0.6655719113782554,increasing,2,151,0,40000,review,0.25,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,100000,40000,4,0.654,536.402418,0.19671377696647008,0.5488771935846339,0.745590970551104,increasing,2,151,0,40000,review,0.5,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,100000,40000,4,0.654,536.402418,0.20991261442399145,0.5992026371117428,0.8091152515357343,increasing,2,151,0,40000,review,0.75,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,1.1194262141569995,0.48877299978459704,1.6081992139415966,increasing,C,72.581,100000,40000,2,0.654,536.402418,0.1349065714825397,0.7169924174286957,0.8518989889112354,increasing,2,151,0,40000,review,1.0,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,0.6828241395755087,0.6262720950460291,1.3090962346215378,increasing,C,72.581,100000,40000,3,0.654,536.402418,0.1349065714825397,0.7169924174286957,0.8518989889112354,increasing,2,151,0,40000,review,1.0,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,needs_d1_decrease,1.0,1.0816428034507557,0.5914335841964512,1.673076387647207,increasing,C,72.581,100000,40000,2,0.654,536.402418,0.06465526903525054,0.8115965674454085,0.8762518364806591,increasing,2,151,0,40000,review,1.25,2e-10,50.0,1,pass
