artifact,diamond_size_case,particle_count_scale,particle_count_total,seed_index,e_al_emax_gpa,mu_scale,mu_wall_scale,liggghts_commit,mu_al_wall,mu_diamond_wall,mu_al_tool,mu_diamond_tool,top_velocity_cm_s,time_step_seconds,initial_settle_steps,stage_settle_steps,final_settle_steps,al_radius_um,diamond_ds_radius_um,diamond_dl_radius_um,diamond_count_ds,diamond_count_dl,al_area_fraction,diamond_area_fraction,p95_mpa
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,C,2,151,0,72.581,0.654,0.019113,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.000999992,0.000999992,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,522.993821
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed1-settle1-vel50,C,2,151,1,72.581,0.654,0.019113,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.000999992,0.000999992,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,567.106367
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed2-settle1-vel50,C,2,151,2,72.581,0.654,0.019113,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.000999992,0.000999992,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,608.187754
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed3-settle1-vel50,C,2,151,3,72.581,0.654,0.019113,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.000999992,0.000999992,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,577.420093
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed4-settle1-vel50,C,2,151,4,72.581,0.654,0.019113,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.000999992,0.000999992,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,549.861245
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed0-settle1-vel50,C,2,151,0,72.581,0.654,1.0,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.05232,0.05232,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,573.482648
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed1-settle1-vel50,C,2,151,1,72.581,0.654,1.0,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.05232,0.05232,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,543.867388
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed2-settle1-vel50,C,2,151,2,72.581,0.654,1.0,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.05232,0.05232,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,607.731725
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed3-settle1-vel50,C,2,151,3,72.581,0.654,1.0,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.05232,0.05232,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,575.954583
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed4-settle1-vel50,C,2,151,4,72.581,0.654,1.0,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,0.05232,0.05232,0.05232,0.05232,50.0,2e-10,20000,20000,50000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,570.019337
