artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,liggghts_commit,min_chain_length,mu_al_tool,mu_al_wall,mu_diamond_tool,mu_diamond_wall,mu_scale,mu_wall_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,candidate_pass,1.0,-1.3320693107895196,1.3320693107895196,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.10006962459037583,0.5250113934188578,0.6250810180092337,increasing,2,151,0,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed1-settle1-vel50,needs_participation_increase,1.0,-1.1697252769048032,1.1697252769048032,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,567.106367,-0.016694162143973568,0.5318190877147273,0.5151249255707537,decreasing,2,151,1,20000,review,0.05,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed2-settle1-vel50,needs_participation_increase,1.0,-0.9435778828987346,0.9435778828987346,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,608.187754,-0.23120764749949868,0.7049748602733931,0.4737672127738944,decreasing,2,151,2,20000,review,0.1,2e-10,50.0,1,review
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed3-settle1-vel50,candidate_pass,1.0,-1.0841086488238634,1.0841086488238634,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,577.420093,0.17778113411904845,0.431481906677959,0.6092630407970074,increasing,2,151,3,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed4-settle1-vel50,candidate_pass,1.0,-1.1624210112336713,1.1624210112336713,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,549.861245,0.010448298499437292,0.6349072678836513,0.6453555663830886,increasing,2,151,4,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed0-settle1-vel50,needs_participation_increase,1.0,-0.4306904039879092,0.4306904039879092,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.05232,0.05232,0.05232,0.654,1.0,573.482648,-0.0006248880260791845,0.9317472715970917,0.9311223835710125,decreasing,2,151,0,20000,review,2.0,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed1-settle1-vel50,candidate_pass,1.0,-1.3596051962097315,1.3596051962097315,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.05232,0.05232,0.05232,0.654,1.0,543.867388,0.07825351613442055,0.49198541198235546,0.570238928116776,increasing,2,151,1,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed2-settle1-vel50,candidate_pass,1.0,-1.1592771855944781,1.1592771855944781,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.05232,0.05232,0.05232,0.654,1.0,607.731725,0.06487962528872526,0.4735352928888752,0.5384149181776005,increasing,2,151,2,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed3-settle1-vel50,candidate_pass,1.0,-0.9572758432836078,0.9572758432836078,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.05232,0.05232,0.05232,0.654,1.0,575.954583,0.07262512989278813,0.5218179820866032,0.5944431119793914,increasing,2,151,3,20000,pass,0.1,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu1-seed4-settle1-vel50,candidate_pass,1.0,-0.5059155602963195,0.5059155602963195,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.05232,0.05232,0.05232,0.05232,0.654,1.0,570.019337,0.30256337608523387,0.5190269696301477,0.8215903457153816,increasing,2,151,4,20000,pass,0.75,2e-10,50.0,2,pass
