artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,liggghts_commit,min_chain_length,mu_al_tool,mu_al_wall,mu_diamond_tool,mu_diamond_wall,mu_scale,mu_wall_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,candidate_pass,1.0,-1.3320693107895196,1.3320693107895196,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.10006962459037583,0.5250113934188578,0.6250810180092337,increasing,2,151,0,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,candidate_pass,1.0,-0.9315084548039229,0.9315084548039229,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.10006962459037583,0.5250113934188578,0.6250810180092337,increasing,2,151,0,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,candidate_pass,1.0,-0.9312284788675309,0.9312284788675309,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.0334911450949088,0.6447420314709323,0.6782331765658411,increasing,2,151,0,20000,pass,0.25,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,candidate_pass,1.0,-0.9312284788675309,0.9312284788675309,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.0334911450949088,0.6447420314709323,0.6782331765658411,increasing,2,151,0,20000,pass,0.25,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.10006962459037583,0.5250113934188578,0.6250810180092337,increasing,2,151,0,20000,review,0.05,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_participation_increase,1.0,-0.9312284788675309,0.9312284788675309,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,-0.009927210382885132,0.6447420314709323,0.6348148210880472,decreasing,2,151,0,20000,review,0.1,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_participation_increase,1.0,-0.9312284788675309,0.9312284788675309,0.0,decreasing,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,-0.009927210382885132,0.6447420314709323,0.6348148210880472,decreasing,2,151,0,20000,review,0.1,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,0.0334911450949088,0.6447420314709323,0.6782331765658411,increasing,2,151,0,20000,review,0.25,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,-0.009927210382885132,0.6447420314709323,0.6348148210880472,decreasing,2,151,0,20000,review,0.1,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,-0.17716629832954778,0.9135150415988552,0.7363487432693074,decreasing,2,151,0,20000,review,0.5,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-wallmu0.019113-seed0-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,72.581,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.05232,0.000999992,0.05232,0.000999992,0.654,0.019113,522.993821,-0.17716629832954778,0.9135150415988552,0.7363487432693074,decreasing,2,151,0,20000,review,0.5,2e-10,50.0,0,pass
