artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,candidate_pass,1.0,-1.1592771855944781,1.1592771855944781,0.0,decreasing,C,61.962,2,0.654,567.207203,0.05235300964008327,0.4735352928888752,0.5258883025289585,increasing,2,151,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,candidate_pass,1.0,-0.6775065305680036,0.6775065305680036,0.0,decreasing,C,61.962,3,0.654,567.207203,0.05235300964008327,0.4735352928888752,0.5258883025289585,increasing,2,151,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,candidate_pass,1.0,-0.6775065305680036,0.6775065305680036,0.0,decreasing,C,61.962,4,0.654,567.207203,0.05235300964008327,0.4735352928888752,0.5258883025289585,increasing,2,151,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,candidate_pass,1.0,-0.9859505699627173,0.9859505699627173,0.0,decreasing,C,61.962,2,0.654,567.207203,0.014066335795793083,0.5247256297114097,0.5387919655072028,increasing,2,151,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,candidate_pass,1.0,-0.6830330218236078,0.6830330218236078,0.0,decreasing,C,61.962,3,0.654,567.207203,0.014066335795793083,0.5247256297114097,0.5387919655072028,increasing,2,151,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,candidate_pass,1.0,-0.6830330218236078,0.6830330218236078,0.0,decreasing,C,61.962,4,0.654,567.207203,0.014066335795793083,0.5247256297114097,0.5387919655072028,increasing,2,151,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.7872626235172642,0.7872626235172642,0.0,decreasing,C,61.962,2,0.654,567.207203,-0.07678271229696487,0.6558767129171665,0.5790940006202017,decreasing,2,151,2,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.10708490931640299,0.10708490931640299,0.0,decreasing,C,61.962,3,0.654,567.207203,-0.07678271229696487,0.6558767129171665,0.5790940006202017,decreasing,2,151,2,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.10708490931640299,0.10708490931640299,0.0,decreasing,C,61.962,4,0.654,567.207203,-0.07678271229696487,0.6558767129171665,0.5790940006202017,decreasing,2,151,2,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.4910492865763156,0.4910492865763156,0.0,decreasing,C,61.962,2,0.654,567.207203,-0.15011917830982202,0.8095963357960019,0.6594771574861799,decreasing,2,151,2,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.14235993528557309,0.14235993528557309,0.0,decreasing,C,61.962,3,0.654,567.207203,-0.15011917830982202,0.8095963357960019,0.6594771574861799,decreasing,2,151,2,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.14235993528557309,0.14235993528557309,0.0,decreasing,C,61.962,4,0.654,567.207203,-0.15011917830982202,0.8095963357960019,0.6594771574861799,decreasing,2,151,2,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.18604817767163576,0.18604817767163576,0.0,decreasing,C,61.962,4,0.654,567.207203,-0.0581566708162895,0.8300380108274588,0.7718813400111693,decreasing,2,151,2,review,1.0,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.18604817767163576,0.18604817767163576,0.0,decreasing,C,61.962,3,0.654,567.207203,-0.01986531144077386,0.8300380108274588,0.8101726993866849,decreasing,2,151,2,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.18604817767163576,0.18604817767163576,0.0,decreasing,C,61.962,4,0.654,567.207203,-0.01986531144077386,0.8300380108274588,0.8101726993866849,decreasing,2,151,2,review,1.25,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.7211949945972544,0.7211949945972544,0.0,decreasing,C,61.962,2,0.654,567.207203,-0.012026184458203804,0.8622810120784774,0.8502548276202736,decreasing,2,151,2,review,1.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_participation_increase,1.0,-0.6771681162251576,0.6771681162251576,0.0,decreasing,C,61.962,3,0.654,567.207203,-0.012026184458203804,0.8622810120784774,0.8502548276202736,decreasing,2,151,2,review,1.5,1,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.8920786160182961,0.4910492865763156,1.3831279025946117,increasing,C,61.962,2,0.654,567.207203,-0.09022218797483661,0.8095963357960019,0.7193741478211653,decreasing,2,151,2,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.8340396673239352,0.14235993528557309,0.9763996026095083,increasing,C,61.962,3,0.654,567.207203,-0.09022218797483661,0.8095963357960019,0.7193741478211653,decreasing,2,151,2,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.8340396673239352,0.14235993528557309,0.9763996026095083,increasing,C,61.962,4,0.654,567.207203,-0.09022218797483661,0.8095963357960019,0.7193741478211653,decreasing,2,151,2,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.47918464130773264,0.500169211726854,0.9793538530345867,increasing,C,61.962,2,0.654,567.207203,-0.0581566708162895,0.8300380108274588,0.7718813400111693,decreasing,2,151,2,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.7933056753629509,0.18604817767163576,0.9793538530345867,increasing,C,61.962,3,0.654,567.207203,-0.0581566708162895,0.8300380108274588,0.7718813400111693,decreasing,2,151,2,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.8854751449421635,0.500169211726854,1.3856443566690175,increasing,C,61.962,2,0.654,567.207203,-0.01986531144077386,0.8300380108274588,0.8101726993866849,decreasing,2,151,2,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.255629357407841,0.6044794977109453,0.8601088551187863,increasing,C,61.962,2,0.654,567.207203,-0.029059848134414423,0.9232766773521921,0.8942168292177777,decreasing,2,151,2,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,needs_physics_calibration,1.0,0.8601088551187863,0.0,0.8601088551187863,increasing,C,61.962,3,0.654,567.207203,-0.029059848134414423,0.9232766773521921,0.8942168292177777,decreasing,2,151,2,review,2.0,0,pass
