artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_participation_increase,1.0,-0.7659437877469726,0.7659437877469726,0.0,decreasing,D,37.517,2,0.77,413.405454,-0.2366927658970115,0.8123319612522713,0.5756391953552598,decreasing,2,92,2,review,0.05,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_participation_increase,1.0,-0.7646611794656323,0.7646611794656323,0.0,decreasing,D,37.517,2,0.77,413.405454,-0.28157058123496415,0.8707331825899959,0.5891626013550317,decreasing,2,92,2,review,0.1,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_participation_increase,1.0,-0.7615528658735536,0.7615528658735536,0.0,decreasing,D,37.517,2,0.77,413.405454,-0.29756753583137463,0.9269330814045035,0.6293655455731288,decreasing,2,92,2,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_participation_increase,1.0,-0.7535331690923719,0.7535331690923719,0.0,decreasing,D,37.517,2,0.77,413.405454,-0.27472800818980425,0.9647664802438568,0.6900384720540526,decreasing,2,92,2,review,0.5,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_participation_increase,0.8333333333333334,-0.16442023092204994,0.16442023092204994,0.0,decreasing,D,37.517,3,0.77,413.405454,-0.1350121254215304,0.996236823514615,0.8612246980930846,decreasing,2,92,2,review,1.25,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_d1_decrease,0.8333333333333334,0.9190826085407559,0.0,0.9190826085407559,increasing,D,37.517,2,0.77,413.405454,0.9472754142089531,0.0,0.9472754142089531,increasing,2,92,2,review,2.0,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_d1_decrease,0.6666666666666666,0.0,0.0,0.0,flat,D,37.517,3,0.77,413.405454,0.9472754142089531,0.0,0.9472754142089531,increasing,2,92,2,review,2.0,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_d1_decrease,0.5,0.0,0.0,0.0,flat,D,37.517,4,0.77,413.405454,0.9472754142089531,0.0,0.9472754142089531,increasing,2,92,2,review,2.0,1,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,D,37.517,3,0.77,413.405454,-0.2366927658970115,0.8123319612522713,0.5756391953552598,decreasing,2,92,2,review,0.05,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,D,37.517,3,0.77,413.405454,-0.28157058123496415,0.8707331825899959,0.5891626013550317,decreasing,2,92,2,review,0.1,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,1.0,0.25002497278270475,0.7386797517531859,0.9887047245358906,increasing,D,37.517,2,0.77,413.405454,-0.2268016468263937,0.9842438277472654,0.7574421809208717,decreasing,2,92,2,review,0.75,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,1.0,0.6341476015363258,0.7386797517531859,1.3728273532895117,increasing,D,37.517,2,0.77,413.405454,-0.1657014448774191,0.9842438277472654,0.8185423828698463,decreasing,2,92,2,review,1.0,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,1.0,1.698094008396354,0.3618381873454616,2.0599321957418155,increasing,D,37.517,2,0.77,413.405454,-0.1350121254215304,0.996236823514615,0.8612246980930846,decreasing,2,92,2,review,1.25,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,1.0,0.9564627137578194,0.0,0.9564627137578194,increasing,D,37.517,2,0.77,413.405454,-0.0973361651569602,1.0,0.9026638348430398,decreasing,2,92,2,review,1.5,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,D,37.517,4,0.77,413.405454,-0.2366927658970115,0.8123319612522713,0.5756391953552598,decreasing,2,92,2,review,0.05,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,D,37.517,4,0.77,413.405454,-0.28157058123496415,0.8707331825899959,0.5891626013550317,decreasing,2,92,2,review,0.1,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,D,37.517,3,0.77,413.405454,-0.29756753583137463,0.9269330814045035,0.6293655455731288,decreasing,2,92,2,review,0.25,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,D,37.517,4,0.77,413.405454,-0.29756753583137463,0.9269330814045035,0.6293655455731288,decreasing,2,92,2,review,0.25,0,review
dia60al40-dem-artifacts-sizeD-pscale2-Emax37.517-mu0.77-seed2,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,D,37.517,3,0.77,413.405454,-0.27472800818980425,0.9647664802438568,0.6900384720540526,decreasing,2,92,2,review,0.5,0,review
