% x_um y_um sigma_s_m k_w_mk
0 0 68563.190441 24.0499215021
5 0 100000 26.5879427101
10 0 100000 29.4388173827
15 0 100000 32.0782352022
20 0 100000 34.1296631512
25 0 100000 35.6056887373
30 0 100000 36.7939169558
35 0 100000 37.8916994575
40 0 100000 38.8046394808
45 0 100000 39.2996104797
50 0 100000 39.2514815927
55 0 100000 38.7037489804
60 0 100000 37.812624411
65 0 100000 36.8350229546
70 0 100000 36.0918791389
75 0 100000 35.8132141708
80 0 100000 36.0031097524
85 0 100000 36.4736462818
90 0 100000 36.9625098069
95 0 100000 37.2178902434
100 0 100000 37.101276238
105 0 100000 36.7071301417
110 0 100000 36.3034808014
115 0 100000 36.0370694035
120 0 100000 35.7233049304
125 0 100000 35.0132582436
130 0 100000 33.7378680944
135 0 100000 32.0044594876
140 0 77094.1978505 30.0016489889
145 0 40956.8822498 27.8486792083
150 0 18678.7297351 25.6627635855
155 0 7325.8137377 23.6551457589
160 0 2500.13225473 22.0652663178
165 0 781.17803543 21.0144465249
170 0 273.071331328 20.461022011
175 0 181.030499315 20.2881022081
180 0 313.967160771 20.4151329677
185 0 879.199694342 20.8355468053
190 0 2587.68015409 21.5673514615
195 0 6909.59246112 22.5742297639
200 0 16095.3884746 23.7408649607
205 0 32380.4610683 24.9342621852
210 0 56110.3340319 26.0728034977
215 0 83713.8238522 27.0986400053
220 0 100000 27.8924629673
225 0 100000 28.2976249229
230 0 100000 28.2943292191
235 0 100000 28.1176997331
240 0 90635.8929593 28.1263184716
245 0 77956.6174395 28.5244196511
250 0 67400.414373 29.2086615401
255 0 55931.6981189 29.8451862172
260 0 42320.2534757 30.0727838064
265 0 28763.7780952 29.7118680053
270 0 19148.8265575 28.8927422733
275 0 16809.0606602 28.0016213042
280 0 23679.1077603 27.4413401317
285 0 40272.1719943 27.4001576144
290 0 65549.4764956 27.8279889522
295 0 97091.4770632 28.5928535639
300 0 100000 29.6330741831
305 0 100000 30.9851484414
310 0 100000 32.6992878742
315 0 100000 34.7114854473
320 0 100000 36.7491587071
325 0 100000 38.3575549707
330 0 100000 39.0913554368
335 0 100000 38.7699836449
340 0 100000 37.589520733
345 0 100000 36.0004693299
350 0 100000 34.4806958525
355 0 100000 33.3776903499
360 0 100000 32.8489074623
365 0 100000 32.8218624731
370 0 100000 32.9563992297
375 0 100000 32.7152334061
380 0 100000 31.6245700755
385 0 98584.7417086 29.5906264524
390 0 67828.5974485 26.9935850968
395 0 39933.2853568 24.4506655665
400 0 19965.9766672 22.452911493
0 4.96901271429 100000 26.4050782504
5 4.96901271429 100000 30.1302109987
10 4.96901271429 100000 34.1590257269
15 4.96901271429 100000 37.7741983809
20 4.96901271429 100000 40.5432111385
25 4.96901271429 100000 42.5752695881
30 4.96901271429 100000 44.2969316671
35 4.96901271429 100000 45.9600662065
40 4.96901271429 100000 47.4138477313
45 4.96901271429 100000 48.3248062631
50 4.96901271429 100000 48.4906838217
55 4.96901271429 100000 47.9272521877
60 4.96901271429 100000 46.8314161624
65 4.96901271429 100000 45.5820432753
70 4.96901271429 100000 44.6547098686
75 4.96901271429 100000 44.3618788952
80 4.96901271429 100000 44.6593975738
85 4.96901271429 100000 45.232185142
90 4.96901271429 100000 45.7113911701
95 4.96901271429 100000 45.8180624289
100 4.96901271429 100000 45.4709137781
105 4.96901271429 100000 44.8764263697
110 4.96901271429 100000 44.4009292627
115 4.96901271429 100000 44.1895995304
120 4.96901271429 100000 43.9327697868
125 4.96901271429 100000 43.1136617884
130 4.96901271429 100000 41.4562761311
135 4.96901271429 100000 39.0422229669
140 4.96901271429 100000 36.0720482161
145 4.96901271429 63618.638753 32.7088361743
150 4.96901271429 29371.6585395 29.190103271
155 4.96901271429 11639.2364582 25.9242210237
160 4.96901271429 3983.70351271 23.3376616499
165 4.96901271429 1216.3826497 21.634984601
170 4.96901271429 388.943442288 20.7449096259
175 4.96901271429 244.925884572 20.4772996314
180 4.96901271429 493.308795237 20.7085266019
185 4.96901271429 1510.11120147 21.4406603576
190 4.96901271429 4508.61823122 22.7142233252
195 4.96901271429 11881.8870017 24.4663618712
200 4.96901271429 27053.786144 26.4745128647
205 4.96901271429 52994.5432391 28.4525367569
210 4.96901271429 89295.7155997 30.1910497053
215 4.96901271429 100000 31.5709761217
220 4.96901271429 100000 32.4719044479
225 4.96901271429 100000 32.7875461197
230 4.96901271429 100000 32.6094125817
235 4.96901271429 100000 32.3287329302
240 4.96901271429 100000 32.4380055167
245 4.96901271429 100000 33.1854303323
250 4.96901271429 85567.6459156 34.4036471438
255 4.96901271429 70043.3951605 35.6050058871
