% x_um y_um sigma_s_m k_w_mk
0 0 7517.71117749 25.2668373151
5 0 11628.9253041 28.5890305488
10 0 16266.2524991 32.3363656558
15 0 20577.037883 35.8198285923
20 0 23931.922373 38.5308463621
25 0 26327.9257992 40.4670107469
30 0 28232.5680159 42.0061155684
35 0 30013.1705628 43.4449863134
40 0 31588.3874437 44.7178888434
45 0 32610.3221868 45.5436946964
50 0 32810.3660827 45.7053463295
55 0 32117.907902 45.1457841632
60 0 30661.7404859 43.9690832209
65 0 28842.230483 42.4987721075
70 0 27288.8183844 41.2434896035
75 0 26535.3107854 40.6345945741
80 0 26689.5460893 40.7592291631
85 0 27424.2933085 41.3529642897
90 0 28201.766059 41.9812250982
95 0 28506.2175799 42.2272465292
100 0 28076.0120461 41.8796056938
105 0 27092.6073438 41.0849352273
110 0 26054.5914668 40.2461345186
115 0 25292.0825013 39.6299656577
120 0 24616.7836921 39.0842696501
125 0 23543.0320681 38.2165915702
130 0 21785.3307815 36.7962268941
135 0 19410.6419157 34.8772863966
140 0 16586.5659093 32.5952047752
145 0 13412.2194972 30.0300763614
150 0 10055.8717695 27.3178761774
155 0 6889.1142785 24.7588802251
160 0 4342.84291102 22.7012872008
165 0 2645.97511196 21.3300808986
170 0 1747.17280969 20.6037760078
175 0 1461.22596648 20.3727078517
180 0 1654.8616696 20.5291811472
185 0 2310.2881476 21.0588187051
190 0 3445.34896331 21.9760395663
195 0 4984.18692983 23.2195449938
200 0 6715.80546329 24.6188326976
205 0 8398.43640611 25.9785344696
210 0 9891.13102282 27.1847523417
215 0 11137.4713126 28.1918960102
220 0 12033.3865491 28.9158679184
225 0 12419.7555001 29.2280852526
230 0 12290.7613719 29.1238475732
235 0 11965.6340805 28.8611184489
240 0 11956.2584957 28.8535422187
245 0 12622.1983899 29.3916754666
250 0 13919.3497148 30.4398785574
255 0 15392.6058132 31.6303885359
260 0 16383.6902676 32.4312648627
265 0 16397.7796195 32.4426501976
270 0 15457.6184641 31.6829240114
275 0 14128.8977797 30.609210327
280 0 13125.5816683 29.7984498329
285 0 12859.4628753 29.5834043437
290 0 13343.7035444 29.9747099349
295 0 14424.9984218 30.8484835731
300 0 16014.8911031 32.1332453358
305 0 18122.1969803 33.836118772
310 0 20741.6348338 35.9528362293
315 0 23722.1984731 38.3613725035
320 0 26685.8896503 40.7562744649
325 0 29061.1632447 42.6756874705
330 0 30287.8351391 43.6669374861
335 0 30105.6606053 43.5197257417
340 0 28697.509339 42.3818257285
345 0 26576.4415753 40.667831576
350 0 24353.0037417 38.8711141347
355 0 22552.7640757 37.4163750107
360 0 21493.3333338 36.5602693607
365 0 21157.0028656 36.2884871641
370 0 21099.1213369 36.2417142116
375 0 20553.2953515 35.8006427083
380 0 18819.4323794 34.3995413167
385 0 15730.2733801 31.9032512162
390 0 11806.9020393 28.7328501328
395 0 7940.07235917 25.6081392801
400 0 4867.10802234 23.1249357756
0 4.96901271429 11293.1959068 28.3177340661
5 4.96901271429 17330.7560851 33.1965705738
10 4.96901271429 23906.8655484 38.510598423
15 4.96901271429 29865.0239803 43.3252719032
20 4.96901271429 34481.9051272 47.0560849513
25 4.96901271429 37895.0568343 49.8141873408
30 4.96901271429 40776.9259588 52.1429704717
35 4.96901271429 43570.2596327 54.4002098042
40 4.96901271429 46098.4955661 56.4432287403
45 4.96901271429 47844.4390424 57.8540921555
50 4.96901271429 48394.371214 58.2984817891
55 4.96901271429 47610.0229552 57.6646650143
60 4.96901271429 45688.7748344 56.1121412803
65 4.96901271429 43272.5806918 54.1596611651
70 4.96901271429 41308.644653 52.5726421438
75 4.96901271429 40512.6153647 51.9293861533
80 4.96901271429 40909.3361844 52.2499686339
85 4.96901271429 41907.1008417 53.0562431044
90 4.96901271429 42717.252256 53.710910914
95 4.96901271429 42725.2223531 53.7173513964
100 4.96901271429 41752.5858167 52.9313824782
105 4.96901271429 40191.1684532 51.6696310733
110 4.96901271429 38750.2048543 50.5052160439
115 4.96901271429 37822.0782227 49.7552147254
120 4.96901271429 37082.2798865 49.157397888
125 4.96901271429 35815.6008242 48.1338188478
130 4.96901271429 33556.6517965 46.3084054921
135 4.96901271429 30276.4119701 43.6577066425
140 4.96901271429 26090.5016529 40.2751528508
145 4.96901271429 21116.6742206 36.2558983601
150 4.96901271429 15700.8268554 31.8794560448
155 4.96901271429 10544.2515574 27.712526511
160 4.96901271429 6401.14656295 24.3645628792
165 4.96901271429 3652.12689524 22.1431328446
170 4.96901271429 2206.81806668 20.9752065185
175 4.96901271429 1763.62756111 20.6170727767
180 4.96901271429 2117.43648532 20.902978978
185 4.96901271429 3259.35000034 21.825737374
190 4.96901271429 5236.07162877 23.4230881849
195 4.96901271429 7919.21789435 25.5912871874
200 4.96901271429 10914.4931265 28.0117116174
205 4.96901271429 13727.6506671 30.284970236
210 4.96901271429 16020.6307166 32.1378834073
215 4.96901271429 17669.0448032 33.4699351945
220 4.96901271429 18612.9866515 34.232716486
225 4.96901271429 18811.0031659 34.392729831
230 4.96901271429 18438.0746447 34.0913734503
235 4.96901271429 18032.3291073 33.7634982685
240 4.96901271429 18288.4961932 33.9705019743
245 4.96901271429 19638.051094 35.0610513891
250 4.96901271429 21962.6112483 36.939483837
255 4.96901271429 24570.1053616 39.0465497872
260 4.96901271429 26435.8577074 40.5542284505
265 4.96901271429 26745.3278635 40.8043053443
270 4.96901271429 25500.375332 39.7982830965
275 4.96901271429 23603.14819 38.2651702545
280 4.96901271429 22208.597005 37.1382602061
285 4.96901271429 21964.134241 36.9407145381
290 4.96901271429 22853.7547005 37.659599758
295 4.96901271429 24601.120162 39.0716122521
300 4.96901271429 27050.7261634 41.0510918492
305 4.96901271429 30189.8226463 43.5877354718
310 4.96901271429 33949.2850086 46.6256848555
315 4.96901271429 38049.6021066 49.9390724094
320 4.96901271429 41987.0161055 53.1208210953
325 4.96901271429 45125.6154194 55.6570629652
330 4.96901271429 46876.4267437 57.0718599949
335 4.96901271429 46924.680343 57.1108528024
340 4.96901271429 45377.8263611 55.8608697867
345 4.96901271429 42736.2148487 53.7262342211
350 4.96901271429 39721.6844605 51.2902500691
355 4.96901271429 37047.0774646 49.1289514865
360 4.96901271429 35177.072782 47.6178365916
365 4.96901271429 34123.5042844 46.7664681086
370 4.96901271429 33349.4586908 46.1409767198
375 4.96901271429 31908.5516127 44.9766073638
380 4.96901271429 28903.7046153 42.5484481739
385 4.96901271429 24077.9144343 38.6488197449
390 4.96901271429 18081.2909666 33.8030634073
395 4.96901271429 12130.4589195 28.994310238
400 4.96901271429 7313.52045563 25.1018347116
0 9.93802542857 15368.287694 31.6107375305
5 9.93802542857 23218.9665904 37.9547204771
10 9.93802542857 31446.2659385 44.6030431826
15 9.93802542857 38664.6045361 50.4360440695
20 9.93802542857 44187.0227149 54.8986042141
25 9.93802542857 48366.5648247 58.2760119796
30 9.93802542857 52054.2350569 61.2559475207
35 9.93802542857 55712.300735 64.2119601899
40 9.93802542857 59070.2929195 66.9254892278
45 9.93802542857 61494.389495 68.8843551475
50 9.93802542857 62468.0321156 69.6711370631
55 9.93802542857 61793.7262931 69.1262434692
60 9.93802542857 59724.6773028 67.4542846892
65 9.93802542857 57100.0249446 65.3333534906
70 9.93802542857 55087.82008 63.7073293575
75 9.93802542857 54464.5291685 63.2036599342
80 9.93802542857 55098.1222499 63.7156543434
85 9.93802542857 56155.5743023 64.5701610524
90 9.93802542857 56713.9706855 65.0213904529
95 9.93802542857 56219.9019764 64.6221430113
100 9.93802542857 54694.6051287 63.389579902
105 9.93802542857 52733.192297 61.8045998359
110 9.93802542857 51137.2983496 60.5149885653
115 9.93802542857 50250.1799165 59.7981251851
120 9.93802542857 49604.3862527 59.2762717194
125 9.93802542857 48312.9182665 58.2326612254
130 9.93802542857 45736.0313255 56.1503283438
135 9.93802542857 41669.5186375 52.8642574849
140 9.93802542857 36101.7946932 48.3650866208
145 9.93802542857 29184.7922131 42.7755896671
150 9.93802542857 21531.3861309 36.5910190957
155 9.93802542857 14253.8102959 30.7101497341
160 9.93802542857 8452.87105733 26.0225220665
165 9.93802542857 4639.85579375 22.9412976111
170 9.93802542857 2657.8205537 21.3396529727
175 9.93802542857 2077.67863473 20.870851422
180 9.93802542857 2631.27954494 21.3182056929
185 9.93802542857 4342.34690354 22.7008863867
190 9.93802542857 7314.21058235 25.1023923898
195 9.93802542857 11376.1854161 28.3847962958
200 9.93802542857 15915.5062107 32.0529343116
205 9.93802542857 20094.8741717 35.4302013509
210 9.93802542857 23268.8507931 37.9950309439
215 9.93802542857 25190.9076629 39.5482082125
220 9.93802542857 25905.94913 40.126019499
225 9.93802542857 25640.8140447 39.911768925
230 9.93802542857 24885.4958709 39.3014108048
235 9.93802542857 24417.447638 38.9231900105
240 9.93802542857 25024.7513111 39.4139404534
245 9.93802542857 27107.1626451 41.096697087
250 9.93802542857 30441.9921007 43.7915087683
255 9.93802542857 34146.9913672 46.7854475694
260 9.93802542857 36895.7490578 49.0066659053
265 9.93802542857 37590.4366458 49.5680296128
270 9.93802542857 36220.1594639 48.4607349203
275 9.93802542857 34018.8346797 46.6818866098
