stage_id,i,j,x_um,y_um,normal_force_n,source,raw_weight,normalized_amplitude
stage5_rho095,60,55,10.1731,20.7256,0.28138311800000004,liggghts_pair_gran_local,1.0044805367464558,0.18245417806242725
stage5_rho095,60,65,19.9196,9.90215,0.32148762500000005,liggghts_pair_gran_local,1.0736794413297905,0.19502349005673178
stage5_rho095,55,9,22.1106,33.7999,0.266659021,liggghts_pair_gran_local,0.9778464138812958,0.17761634714584568
stage5_rho095,55,36,11.0495,41.7687,0.22206244600000002,liggghts_pair_gran_local,0.8923393953874036,0.16208482392847764
stage5_rho095,68,65,40.8738,8.39424,0.19361186800000002,liggghts_pair_gran_local,0.8332177147980693,0.1513459422448805
stage5_rho095,68,9,48.8653,18.4408,0.470408105,liggghts_pair_gran_local,1.298762992532807,0.23590774099815603
stage5_rho095,68,44,60.2331,11.3541,0.44813041600000003,liggghts_pair_gran_local,1.2676364488313212,0.23025390526991601
stage5_rho095,65,9,34.7547,19.7586,0.4897265860000001,liggghts_pair_gran_local,1.3251631419225904,0.2407030728950189
stage5_rho095,9,44,59.8695,23.5985,0.20165775300000002,liggghts_pair_gran_local,0.8503544114287196,0.15445865750821236
stage5_rho095,9,12,67.308,38.9499,0.21857843600000001,liggghts_pair_gran_local,0.8853116195227805,0.16080829638804367
stage5_rho095,9,36,22.8183,47.6962,0.17136389700000002,liggghts_pair_gran_local,0.7838846716407777,0.14238507191310038
stage5_rho095,9,50,58.9449,55.2463,0.17750373100000003,liggghts_pair_gran_local,0.7978040749710823,0.1449133969535996
stage5_rho095,9,15,41.5026,62.1695,0.932517091,liggghts_pair_gran_local,1.8286092290255793,0.3321491872404944
stage5_rho095,44,63,79.1395,11.3611,0.162384005,liggghts_pair_gran_local,0.76306956395543,0.1386042088449993
stage5_rho095,44,12,76.5725,23.659,0.462460704,liggghts_pair_gran_local,1.287745156878669,0.23390645767333035
stage5_rho095,63,12,90.0955,18.5104,0.6125831230000001,liggghts_pair_gran_local,1.4820915152461,0.26920759470701483
stage5_rho095,63,29,100.191,9.12565,0.21590761100000003,liggghts_pair_gran_local,0.8798861531455762,0.15982281287468017
stage5_rho095,12,29,103.882,20.759,0.208800851,liggghts_pair_gran_local,0.8652839325965324,0.15717046068795526
stage5_rho095,12,41,112.443,32.4917,0.20342506500000002,liggghts_pair_gran_local,0.8540725010834653,0.15513401254706294
stage5_rho095,12,50,75.6479,55.3068,0.189154675,liggghts_pair_gran_local,0.8235710025116638,0.14959371022361925
stage5_rho095,12,67,112.771,47.3965,0.0622252899,liggghts_pair_gran_local,0.47236310806813314,0.08580019171774045
stage5_rho095,12,10,99.6676,60.706,1.1335956600000001,liggghts_pair_gran_local,2.0161442171978603,0.36621310473136887
stage5_rho095,29,41,117.417,19.9029,0.156936086,liggghts_pair_gran_local,0.7501600220255691,0.13625931536443028
stage5_rho095,29,46,121.828,9.84406,0.17546984200000001,liggghts_pair_gran_local,0.7932201714976959,0.14408077520538412
stage5_rho095,41,46,128.426,18.888,0.185407654,liggghts_pair_gran_local,0.8153730193676637,0.1481046258445899
stage5_rho095,41,6,136.117,30.9003,0.274371125,liggghts_pair_gran_local,0.9918858830042333,0.18016648097676624
stage5_rho095,41,67,124.269,40.436,0.11989604000000001,liggghts_pair_gran_local,0.6556845143356497,0.11909875279302655
stage5_rho095,46,6,142.733,15.812,0.359447412,liggghts_pair_gran_local,1.1352988233747288,0.206216055061664
stage5_rho095,6,62,204.63,17.5427,0.15091094200000002,liggghts_pair_gran_local,0.7356188887239656,0.13361805908560415
stage5_rho095,6,35,209.402,33.877,0.21786133300000002,liggghts_pair_gran_local,0.8838581797620727,0.16054429310753995
stage5_rho095,6,67,136.497,48.134,0.124963769,liggghts_pair_gran_local,0.6693982380604676,0.12158971812172405
stage5_rho095,6,71,191.963,67.2207,0.389427713,liggghts_pair_gran_local,1.1816964593982158,0.21464373706745457
stage5_rho095,6,70,205.671,51.5204,0.3508922970000001,liggghts_pair_gran_local,1.1217069853786588,0.2037472290971878
stage5_rho095,6,1,167.495,74.2331,3.3373777600000003,liggghts_pair_gran_local,3.459355471970692,0.6283584760224074
stage5_rho095,62,33,227.032,10.9677,0.09962905350000002,liggghts_pair_gran_local,0.5977031015405002,0.10856698972999812
stage5_rho095,62,35,218.547,22.0263,0.137886627,liggghts_pair_gran_local,0.703159066973332,0.12772204629002754
stage5_rho095,33,42,251.203,8.6537,0.011311932600000001,liggghts_pair_gran_local,0.20140067029225592,0.036582484592900325
stage5_rho095,33,2,245.768,20.935,0.22065452900000002,liggghts_pair_gran_local,0.889506098893951,0.16157018301309023
stage5_rho095,35,70,219.241,44.6781,0.0625869913,liggghts_pair_gran_local,0.4737339882389709,0.08604919884694022
stage5_rho095,35,2,233.041,37.5229,0.298788302,liggghts_pair_gran_local,1.0350809180058722,0.18801244147006657
stage5_rho095,42,2,264.526,17.7175,1.00388088,liggghts_pair_gran_local,1.897289479574936,0.34462429074393586
stage5_rho095,18,56,298.806,16.7414,0.16586095000000003,liggghts_pair_gran_local,0.7711956682435384,0.14008023712478926
stage5_rho095,18,2,284.817,19.6243,0.348156297,liggghts_pair_gran_local,1.1173253044354379,0.2029513391164654
stage5_rho095,61,56,312.539,16.6488,0.39852565900000003,liggghts_pair_gran_local,1.1954203688091367,0.21713655252755626
stage5_rho095,61,47,323.828,18.4539,0.169154897,liggghts_pair_gran_local,0.7788158738468328,0.14146437379957158
stage5_rho095,61,26,329.19,8.83563,0.18846671900000003,liggghts_pair_gran_local,0.8220719734357991,0.14932142608478022
stage5_rho095,56,47,318.138,26.2368,0.12707193400000003,liggghts_pair_gran_local,0.6750210670237715,0.12261105064072753
stage5_rho095,56,2,296.881,31.1598,0.41298056600000005,liggghts_pair_gran_local,1.216906791235048,0.22103935342792977
stage5_rho095,56,28,311.529,34.4809,0.17145864600000002,liggghts_pair_gran_local,0.7841013509600435,0.14242442961656354
stage5_rho095,47,26,334.789,18.4236,0.18145408100000002,liggghts_pair_gran_local,0.8066327992797295,0.14651704936710633
stage5_rho095,47,57,339.96,25.7226,0.21325625800000003,liggghts_pair_gran_local,0.8744669484100761,0.15883846672799395
stage5_rho095,47,28,322.818,36.286,0.24586009500000003,liggghts_pair_gran_local,0.9389371652766528,0.1705488583160659
stage5_rho095,47,75,335.086,37.1232,0.22576214700000002,liggghts_pair_gran_local,0.8997421588318034,0.16342946433735348
stage5_rho095,26,57,345.323,16.1043,0.528562249,liggghts_pair_gran_local,1.3767040120921539,0.2500649736580435
stage5_rho095,57,69,358.393,16.1018,0.21749299500000002,liggghts_pair_gran_local,0.8831106944887941,0.16040851963442562
stage5_rho095,57,13,359.798,29.5527,0.602107092,liggghts_pair_gran_local,1.4693639434433943,0.26689575434073465
stage5_rho095,57,75,345.62,34.804,0.030163291300000002,liggghts_pair_gran_local,0.32887576504190924,0.059737103109763386
stage5_rho095,69,13,370.045,20.0804,0.281083462,liggghts_pair_gran_local,1.0039455387677416,0.18235700085201806
stage5_rho095,69,59,377.722,9.43015,0.125326865,liggghts_pair_gran_local,0.6703700378239473,0.12176623615328418
stage5_rho095,13,59,384.873,20.8975,0.375321353,liggghts_pair_gran_local,1.1600965729539237,0.21072032652512582
stage5_rho095,13,75,353.474,44.3427,0.0119725614,liggghts_pair_gran_local,0.20719823123378417,0.037635555486418656
stage5_rho095,13,32,385.694,62.0596,0.113092045,liggghts_pair_gran_local,0.6368080369845064,0.11567002318222454
stage5_rho095,13,8,365.537,61.4332,1.17584193,liggghts_pair_gran_local,2.05336889374442,0.3729746073334413
stage5_rho095,36,72,10.3845,62.6554,0.29575086,liggghts_pair_gran_local,1.029806231089232,0.18705434558796075
stage5_rho095,72,74,9.15123,83.8898,0.17501237300000003,liggghts_pair_gran_local,0.7921854909620357,0.14389283548949622
stage5_rho095,72,15,19.8175,77.2733,0.42570608800000004,liggghts_pair_gran_local,1.2355133367073738,0.2244190525226782
stage5_rho095,50,15,57.5144,71.6233,0.133444178,liggghts_pair_gran_local,0.6917390969860849,0.12564771915147524
stage5_rho095,50,31,71.0278,74.7583,0.14658558800000002,liggghts_pair_gran_local,0.7250002293221394,0.13168928226772728
stage5_rho095,67,10,118.807,62.6241,0.194719895,liggghts_pair_gran_local,0.83559853630686,0.1517783954538862
stage5_rho095,10,31,86.533,84.3352,0.309122542,liggghts_pair_gran_local,1.0528290151551039,0.19123621172650562
stage5_rho095,10,39,103.829,102.079,0.7093055330000001,liggghts_pair_gran_local,1.5948108477355467,0.28968197166977977
stage5_rho095,10,1,128.947,93.5492,1.1218958900000002,liggghts_pair_gran_local,2.0057129830946994,0.36431837190694444
stage5_rho095,71,37,210.725,76.1942,0.0375437864,liggghts_pair_gran_local,0.3669116845665519,0.06664596015561075
stage5_rho095,71,1,189.5,85.9569,0.189722806,liggghts_pair_gran_local,0.8248068837005317,0.14981819609293046
stage5_rho095,71,48,204.594,85.1624,0.352704779,liggghts_pair_gran_local,1.1246002593423767,0.2042727643401796
stage5_rho095,70,37,219.863,65.7274,0.3716906380000001,liggghts_pair_gran_local,1.1544717719208628,0.2096986357987172
stage5_rho095,70,2,229.31,55.1663,0.100356493,liggghts_pair_gran_local,0.5998811914480053,0.10896261870366357
stage5_rho095,37,2,233.974,69.0968,0.155451055,liggghts_pair_gran_local,0.7466023354778138,0.13561309599916818
stage5_rho095,37,48,216.842,83.9825,0.20223009800000002,liggghts_pair_gran_local,0.8515602942732363,0.15467769446829974
stage5_rho095,37,24,231.784,81.3388,0.20462078900000003,liggghts_pair_gran_local,0.8565789244869721,0.1555892801259097
stage5_rho095,2,28,303.902,46.2336,0.18720672,liggghts_pair_gran_local,0.8193193736277327,0.148821442942108
stage5_rho095,2,30,301.204,60.8688,0.535130522,liggghts_pair_gran_local,1.385231530602412,0.25161391495036645
stage5_rho095,2,24,247.191,78.5834,1.01760469,liggghts_pair_gran_local,1.910214147262593,0.3469719316721709
stage5_rho095,2,27,262.745,87.0397,0.4411133080000001,liggghts_pair_gran_local,1.2576725652106757,0.22844406214224033
stage5_rho095,2,64,290.084,79.6499,0.31915979800000005,liggghts_pair_gran_local,1.0697852311696612,0.1943161444308323
stage5_rho095,28,30,314.411,54.2869,0.349742072,liggghts_pair_gran_local,1.1198669984419218,0.20341301325934258
stage5_rho095,28,75,328.477,45.3674,0.0382256043,liggghts_pair_gran_local,0.3702283633044043,0.06724840278229625
