stage_id,target_rho_total,actual_rho_total,current_height_um,particle_id,type,shape,material,x_um,y_um,r_um,rotation_rad,vx_cm_s,vy_cm_s,contact_count
stage5_rho095,0.95,0.95,208.698534,60,1,Al,Al,9.84233,10.3942,13,0.0,6.44648e-09,3.71306e-09,2
stage5_rho095,0.95,0.95,208.698534,55,1,Al,Al,10.5039,31.057,13,0.0,2.00057e-08,9.59741e-10,3
stage5_rho095,0.95,0.95,208.698534,68,1,Al,Al,51.7507,7.37842,13,0.0,2.80505e-08,3.65325e-09,3
stage5_rho095,0.95,0.95,208.698534,65,1,Al,Al,29.9969,9.41005,13,0.0,2.37331e-08,8.20272e-09,3
stage5_rho095,0.95,0.95,208.698534,9,2,DS,Diamond,43.5383,38.8637,24,0.0,4.39892e-08,9.69845e-09,8
stage5_rho095,0.95,0.95,208.698534,44,1,Al,Al,68.7155,15.3298,13,0.0,4.67918e-08,1.67257e-08,4
stage5_rho095,0.95,0.95,208.698534,63,1,Al,Al,89.5634,7.39235,13,0.0,2.57779e-08,1.34443e-08,3
stage5_rho095,0.95,0.95,208.698534,12,2,DS,Diamond,91.0776,39.0361,24,0.0,5.09427e-08,2.26899e-08,8
stage5_rho095,0.95,0.95,208.698534,29,1,Al,Al,110.818,10.8589,13,0.0,2.84481e-08,1.04772e-08,4
stage5_rho095,0.95,0.95,208.698534,41,1,Al,Al,124.016,28.9469,13,0.0,5.04375e-08,2.53126e-08,5
stage5_rho095,0.95,0.95,208.698534,46,1,Al,Al,132.837,8.82918,13,0.0,2.19101e-08,1.53776e-08,3
stage5_rho095,0.95,0.95,208.698534,6,2,DL,Diamond,172.422,36.7605,39,0.0,6.27083e-08,-1.12828e-08,8
stage5_rho095,0.95,0.95,208.698534,62,1,Al,Al,215.367,11.1367,13,0.0,4.00332e-08,-1.75296e-08,3
stage5_rho095,0.95,0.95,208.698534,33,1,Al,Al,238.698,10.7987,13,0.0,6.554e-08,1.00879e-08,3
stage5_rho095,0.95,0.95,208.698534,35,1,Al,Al,221.728,32.9158,13,0.0,9.41335e-08,-3.07488e-08,4
stage5_rho095,0.95,0.95,208.698534,42,1,Al,Al,263.708,6.50872,13,0.0,6.2327e-08,-3.90354e-09,2
stage5_rho095,0.95,0.95,208.698534,18,1,Al,Al,290.763,9.05112,13,0.0,6.66991e-08,-5.04401e-09,2
stage5_rho095,0.95,0.95,208.698534,61,1,Al,Al,318.229,8.86592,13,0.0,3.87254e-08,1.85715e-09,3
stage5_rho095,0.95,0.95,208.698534,56,1,Al,Al,306.849,24.4317,13,0.0,1.00002e-07,-2.8221e-09,5
stage5_rho095,0.95,0.95,208.698534,47,1,Al,Al,329.427,28.0419,13,0.0,6.57145e-08,-7.1989e-09,6
stage5_rho095,0.95,0.95,208.698534,26,1,Al,Al,340.151,8.80535,13,0.0,2.63401e-08,-1.11398e-08,4
stage5_rho095,0.95,0.95,208.698534,57,1,Al,Al,350.494,23.4033,13,0.0,2.70692e-08,-1.26758e-08,5
stage5_rho095,0.95,0.95,208.698534,69,1,Al,Al,366.293,8.80031,13,0.0,9.41143e-09,-6.71402e-09,4
stage5_rho095,0.95,0.95,208.698534,13,2,DS,Diamond,376.974,40.9053,24,0.0,6.61031e-09,-1.22989e-08,6
stage5_rho095,0.95,0.95,208.698534,59,1,Al,Al,389.151,10.06,13,0.0,2.88037e-09,-4.68067e-09,2
stage5_rho095,0.95,0.95,208.698534,36,1,Al,Al,11.595,52.4804,13,0.0,2.07164e-08,8.13136e-10,3
stage5_rho095,0.95,0.95,208.698534,72,1,Al,Al,9.17407,72.8305,13,0.0,1.92822e-08,5.61174e-09,3
stage5_rho095,0.95,0.95,208.698534,50,1,Al,Al,67.2902,64.1201,13,0.0,4.87724e-08,1.53084e-08,4
