stage_id,i,j,nx,ny,gap_um,overlap_um,force_x,force_y,normal_force,contact_point_x_um,contact_point_y_um,source,force_unit
stage5_rho095,60,55,0.0320010438,0.999487835,-5.32661182,5.32662,-3785.7,-28031.5,28138.3118,10.1731,20.7256,liggghts_pair_gran_local,dyne
stage5_rho095,60,65,0.998809938,-0.0487720056,-5.82141623,5.82142,-32204.1,-348.631,32148.7625,19.9196,9.90215,liggghts_pair_gran_local,dyne
stage5_rho095,55,9,0.973194049,0.22998553,-3.05569049,3.05571,-25552.3,-7819.96,26665.9021,22.1106,33.7999,liggghts_pair_gran_local,dyne
stage5_rho095,55,36,0.0508643655,0.99870557,-4.54883297,4.54887,-2289.62,-22118.4,22206.2446,11.0495,41.7687,liggghts_pair_gran_local,dyne
stage5_rho095,68,65,-0.995667293,0.0929873191,-4.15153701,4.15152,19026.3,-4487.62,19361.1868,40.8738,8.39424,liggghts_pair_gran_local,dyne
stage5_rho095,68,9,-0.252388769,0.967625914,-4.46130964,4.46127,9591.27,-46113,47040.8105,48.8653,18.4408,liggghts_pair_gran_local,dyne
stage5_rho095,68,44,0.905476781,0.424395806,-7.26423519,7.26423,-35099.2,-30706,44813.0416,60.2331,11.3541,liggghts_pair_gran_local,dyne
stage5_rho095,65,9,0.417720274,0.908575683,-4.5826125,4.58259,-16469,-46328.8,48972.6586,34.7547,19.7586,liggghts_pair_gran_local,dyne
stage5_rho095,9,44,0.730545883,-0.682863613,-2.53645623,2.53641,-15724,12709.2,20165.7753,59.8695,23.5985,liggghts_pair_gran_local,dyne
stage5_rho095,9,12,0.999993424,0.00362644941,-0.460387399,0.460343,-21850,-2215.7,21857.8436,67.308,38.9499,liggghts_pair_gran_local,dyne
stage5_rho095,9,36,-0.919907444,0.392135556,-2.27552832,2.27556,15874.6,-6460.03,17136.3897,22.8183,47.6962,liggghts_pair_gran_local,dyne
stage5_rho095,9,50,0.685076654,0.728470986,-2.3295732,2.3296,-14220.5,-10993.2,17750.3731,58.9449,55.2463,liggghts_pair_gran_local,dyne
stage5_rho095,9,15,-0.0870160393,0.996206911,-1.21092486,1.21092,3489.82,-93301.9,93251.7091,41.5026,62.1695,liggghts_pair_gran_local,dyne
stage5_rho095,44,63,0.934556423,-0.355814968,-3.69219762,3.69218,-13446.3,10320.2,16238.4005,79.1395,11.3611,liggghts_pair_gran_local,dyne
stage5_rho095,44,12,0.686182533,0.7274294,-4.410858,4.41088,-37376.9,-28317,46246.0704,76.5725,23.659,liggghts_pair_gran_local,dyne
stage5_rho095,63,12,0.0477967811,0.998857081,-5.32004237,5.32009,1510.88,-61400.7,61258.3123,90.0955,18.5104,liggghts_pair_gran_local,dyne
stage5_rho095,63,29,0.986959368,0.160969578,-4.46456432,4.46442,-20361.8,-9283.8,21590.7611,100.191,9.12565,liggghts_pair_gran_local,dyne
stage5_rho095,12,29,0.573781446,-0.819008457,-2.59595966,2.59595,-8341.22,19650.6,20880.0851,103.882,20.759,liggghts_pair_gran_local,dyne
stage5_rho095,12,41,0.95615106,-0.292873949,-2.55105007,2.55121,-19015.1,7379.27,20342.5065,112.443,32.4917,liggghts_pair_gran_local,dyne
stage5_rho095,12,50,-0.688104503,0.725611599,-2.43054159,2.43045,17119,-9834.2,18915.4675,75.6479,55.3068,liggghts_pair_gran_local,dyne
stage5_rho095,12,67,0.933104505,0.359605314,-1.15792678,1.15821,-5138.1,-3971.39,6222.52899,112.771,47.3965,liggghts_pair_gran_local,dyne
stage5_rho095,12,10,0.368494629,0.929629877,-1.37951042,1.37927,-42340.5,-105158,113359.566,99.6676,60.706,liggghts_pair_gran_local,dyne
