scenario_id,model,transport_node_count,transport_edge_count,source_current_a_fixed_voltage,equivalent_resistance_ohm,total_power_w_fixed_voltage,total_power_w_fixed_current,relative_kcl_residual,relative_power_balance_error,shortest_path_resistance_ohm,shortest_path_nodes,shortest_path_node_count,field_ge_4e8_edge_count,field_ge_5e8_edge_count,top_5_joule_edge_ids,particle_film_thickness_m,film_resistivity_ohm_m,metallic_bridge_fraction
clean,clean,30,39,6.813618514429972,0.01467648941428386,0.6813618514429971,0.01467648941428386,6.282609479975919e-16,3.2588352936810643e-16,0.03532796455236851,95->41->36->27->33,5,0,0,43;36;29;34;38,,,
intact_d5e-09_rho1e+06,intact_oxide,30,39,3.5618278980323684e-11,2807547216.2830267,3.561827898032383e-12,2807547216.2830267,2.1318434653987784e-15,3.96885751537005e-15,5660793866.309152,95->41->36->27->33,5,0,0,43;36;29;34;38,5e-09,1000000.0,
intact_d5e-09_rho1e+09,intact_oxide,30,39,3.561827898051966e-14,2807547216267.5796,3.5618278980519586e-15,2807547216267.5796,1.9434556192623167e-15,1.993287814628021e-15,5660793866273.859,95->41->36->27->33,5,0,0,43;36;29;34;38,5e-09,1000000000.0,
intact_d5e-09_rho1e+12,intact_oxide,30,39,3.5618278980519715e-17,2807547216267575.0,3.561827898051977e-18,2807547216267575.0,9.895064834986072e-16,1.5139989911454074e-15,5660793866273824.0,95->41->36->27->33,5,0,0,43;36;29;34;38,5e-09,1000000000000.0,
intact_d6e-09_rho1e+06,intact_oxide,30,39,2.968189915029708e-11,3369056659.5365286,2.9681899150297078e-12,3369056659.5365286,1.1702459873880385e-15,1.3607511481256263e-16,6792952639.563916,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,
intact_d6e-09_rho1e+09,intact_oxide,30,39,2.968189915043304e-14,3369056659521.096,2.968189915043301e-15,3369056659521.096,7.840265404203536e-16,1.1959726887768119e-15,6792952639528.624,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000000.0,
intact_d6e-09_rho1e+12,intact_oxide,30,39,2.9681899150433086e-17,3369056659521091.0,2.968189915043315e-18,3369056659521091.0,1.6351189104370432e-15,2.2061128156690216e-15,6792952639528588.0,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000000000.0,
intact_d8e-09_rho1e+06,intact_oxide,30,39,2.2261424362748332e-11,4492075546.043554,2.2261424362748314e-12,4492075546.043554,1.5603279831822627e-15,9.071674320827115e-16,9057270186.073446,95->41->36->27->33,5,0,0,43;36;29;34;38,8e-09,1000000.0,
intact_d8e-09_rho1e+09,intact_oxide,30,39,2.226142436282473e-14,4492075546028.139,2.2261424362824783e-15,4492075546028.139,7.884560688973065e-16,2.3033548080145978e-15,9057270186038.152,95->41->36->27->33,5,0,0,43;36;29;34;38,8e-09,1000000000.0,
intact_d8e-09_rho1e+12,intact_oxide,30,39,2.2261424362824782e-17,4492075546028128.0,2.2261424362824857e-18,4492075546028128.0,1.1506392332705134e-15,3.2875406664871705e-15,9057270186038120.0,95->41->36->27->33,5,0,0,43;36;29;34;38,8e-09,1000000000000.0,
partial_f0e+00,partial_rupture,30,39,2.968189915043312e-11,3369056659.521087,2.968189915043315e-12,3369056659.521087,1.9050516073671453e-15,9.525258036835717e-16,6792952639.528588,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,0.0
partial_f1e-12,partial_rupture,30,39,6.813648522236213e-06,14676.424777951475,6.813648522236209e-07,14676.424777951475,9.556650538646163e-16,6.215707667412142e-16,35327.7807047058,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,1e-12
partial_f1e-10,partial_rupture,30,39,6.813621515210722e-05,1467.6482950624732,6.813621515210714e-06,1467.6482950624732,6.961620181037287e-16,1.1188318148095652e-15,3532.7946167516075,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,1e-10
partial_f1e-08,partial_rupture,30,39,0.0006813618814508049,146.76488767917687,6.813618814508043e-05,146.76488767917687,7.757236990734786e-16,9.94517562914717e-16,353.2796271388242,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,1e-08
partial_f1e-06,partial_rupture,30,39,0.0068136185444377575,14.676489349647289,0.0006813618544437749,14.676489349647289,7.956140818673978e-16,1.432105347361318e-15,35.32796436852007,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,1e-06
partial_f1e-04,partial_rupture,30,39,0.06813618517430454,1.467648940782084,0.006813618517430453,1.467648940782084,3.4370528472906876e-16,2.5459650720671766e-16,3.5327964533985483,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,0.0001
partial_f1e-02,partial_rupture,30,39,0.6813618514727051,0.14676489413643953,0.06813618514727049,0.14676489413643953,1.6803369482310344e-15,4.0735441169237214e-16,0.3532796455054841,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,0.01
partial_f1e+00,partial_rupture,30,39,6.813618514429972,0.01467648941428386,0.6813618514429971,0.01467648941428386,6.282609479975919e-16,3.2588352936810643e-16,0.03532796455236851,95->41->36->27->33,5,0,0,43;36;29;34;38,6e-09,1000000.0,1.0
