stage_id,i,j,x_um,y_um,normal_force_n,material_i,material_j,contact_type,reduced_radius_um,reduced_modulus_gpa,contact_radius_um,contact_radius_fraction,hertz_warning,electrical_resistance_ohm,electrical_conductance_s,thermal_constriction_resistance_k_w,thermal_interface_resistance_k_w,thermal_resistance_k_w,thermal_conductance_w_k,al_al_resistance_multiplier
stage5_rho095,60,55,10.1731,20.7256,0.28138311800000004,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.8841348483675855,0.4526257575667374,True,0.002251817869822596,444.08564893340264,358.5411782218925,0.0,358.5411782218925,0.0027890799181262355,1.0
stage5_rho095,60,65,19.9196,9.90215,0.32148762500000005,Al,Al,Al-Al,6.500000000000001,6.733251038042868,6.151363025653237,0.47318177120409516,True,0.002153994154587053,464.25381325684805,342.9653936130965,0.0,342.9653936130965,0.0029157460741596345,1.0
stage5_rho095,55,9,22.1106,33.7999,0.266659021,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,5.076132625628784,0.3904717404329834,True,4.925009223316586e+17,2.0304530502515135e-18,244.28784614481708,154.41668302882772,398.7045291736448,0.002508123000439951,1.0
stage5_rho095,55,36,11.0495,41.7687,0.22206244600000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.437613195827551,0.4182779381405809,True,0.002436730882249428,410.38590157189066,387.98358128324617,0.0,387.98358128324617,0.0025774286548222594,1.0
stage5_rho095,68,65,40.8738,8.39424,0.19361186800000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.194701489713773,0.3995924222856749,True,0.002550675919730293,392.05294261990736,406.12625105171446,0.0,406.12625105171446,0.0024622885061243286,1.0
stage5_rho095,68,9,48.8653,18.4408,0.470408105,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,6.133463696158075,0.4718048997044674,True,4.076000321915933e+17,2.45338547846323e-18,202.17573092297496,105.76659965941016,307.9423305823851,0.003247361277381986,1.0
stage5_rho095,68,44,60.2331,11.3541,0.44813041600000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,6.871497798862757,0.5285767537586736,True,0.0019282550017250815,518.6036074613402,307.0225303280123,0.0,307.0225303280123,0.0032570899566609474,1.0
stage5_rho095,65,9,34.7547,19.7586,0.4897265860000001,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,6.216301842935228,0.4781770648411714,True,4.021683732814918e+17,2.4865207371740913e-18,199.48154661594856,102.96650030873171,302.4480469246803,0.0033063529758849248,1.0
stage5_rho095,9,44,59.8695,23.5985,0.20165775300000002,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,4.624724235855909,0.35574801814276225,True,5.4057277201898266e+17,1.8498896943423634e-18,268.13220478016103,186.03234350855652,454.1645482887176,0.0022018451324921306,1.0
stage5_rho095,9,12,67.308,38.9499,0.21857843600000001,Diamond,Diamond,Diamond-Diamond,12.0,151.51515151515153,2.350343037196578,0.09793095988319075,False,2.1273490383615903e+18,4.700686074393156e-19,157.5814102490067,0.0,157.5814102490067,0.0063459262004307605,1.0
stage5_rho095,9,36,22.8183,47.6962,0.17136389700000002,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,4.380469327553846,0.3369591790426036,True,5.70715102209392e+17,1.7521877310215385e-18,283.0832527602141,207.3570725457944,490.4403253060085,0.0020389840484182323,1.0
stage5_rho095,9,50,58.9449,55.2463,0.17750373100000003,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,4.43217291816775,0.3409363783205962,True,5.640574152132796e+17,1.7728691672671e-18,279.780940129231,202.5474354821491,482.3283756113801,0.002073276320789628,1.0
stage5_rho095,9,15,41.5026,62.1695,0.932517091,Diamond,Diamond,Diamond-Diamond,12.0,151.51515151515153,3.8119548528590017,0.1588314522024584,False,1.3116629637546609e+18,7.623909705718003e-19,97.16021953738228,0.0,97.16021953738228,0.010292278102719305,1.0
stage5_rho095,44,63,79.1395,11.3611,0.162384005,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.898889993188525,0.37683769178373266,True,0.0027046943324759197,369.72754665573774,430.6495235213629,0.0,430.6495235213629,0.002322073856771361,1.0
stage5_rho095,44,12,76.5725,23.659,0.462460704,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,6.098726332240057,0.4691327947876967,True,4.0992165639309024e+17,2.4394905328960225e-18,203.3272913567227,106.97489006924299,310.30218142596567,0.003222665066048167,1.0
stage5_rho095,63,12,90.0955,18.5104,0.6125831230000001,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,6.6978570801597614,0.5152197753969048,True,3.7325370937003757e+17,2.6791428320639044e-18,185.13943952812923,88.6928045233987,273.83224405152794,0.003651870887096213,1.0
stage5_rho095,63,29,100.191,9.12565,0.21590761100000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.386904236321341,0.41437724894779543,True,0.0024596687482694667,406.5588102884031,391.6358169364647,0.0,391.6358169364647,0.0025533926080163155,1.0
stage5_rho095,12,29,103.882,20.759,0.208800851,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,4.678697373865966,0.35989979798968974,True,5.3433676090365984e+17,1.8714789495463865e-18,265.03904971217634,181.76498708498417,446.8040367971605,0.002238117648104372,1.0
stage5_rho095,12,41,112.443,32.4917,0.20342506500000002,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,4.638195193944243,0.35678424568801875,True,5.390027576381584e+17,1.8552780775776973e-18,267.35345409337623,184.95330539404415,452.3067594874204,0.0022108889133853685,1.0
stage5_rho095,12,50,75.6479,55.3068,0.189154675,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,4.527097974969334,0.34823830576687187,True,5.5223015137350426e+17,1.8108391899877338e-18,273.91443982802036,194.14238172319247,468.0568215512128,0.002136492737539526,1.0
stage5_rho095,12,67,112.771,47.3965,0.0622252899,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,3.125142631079747,0.2403955870061344,False,7.999634881100585e+17,1.2500570524318987e-18,396.793891430118,407.3994644582402,804.1933558883582,0.0012434820465475527,1.0
stage5_rho095,12,10,99.6676,60.706,1.1335956600000001,Diamond,Diamond,Diamond-Diamond,12.0,151.51515151515153,4.068317821776475,0.16951324257401978,False,1.2290091922603766e+18,8.136635643552949e-19,91.03771794521307,0.0,91.03771794521307,0.010984458118796482,1.0
stage5_rho095,29,41,117.417,19.9029,0.156936086,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.843480364694887,0.3725754126688375,True,0.002735636154650681,365.5456879015009,435.57617301977245,0.0,435.57617301977245,0.002295809692865377,1.0
stage5_rho095,29,46,121.828,9.84406,0.17546984200000001,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.027098939724663,0.3866999184403587,True,0.002635714983705037,379.40369356412555,419.6664252376462,0.0,419.6664252376462,0.0023828448974294904,1.0
stage5_rho095,41,46,128.426,18.888,0.185407654,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.1202656149015615,0.3938665857616586,True,0.002587756377606347,386.4351407472877,412.0303124920543,0.0,412.0303124920543,0.00242700590146334,1.0
stage5_rho095,41,6,136.117,30.9003,0.274371125,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.378703241277874,0.4137464031752211,True,4.6479604615740966e+17,2.15148129651115e-18,230.54581192430348,137.5323845863368,368.0781965106403,0.002716814007132021,1.0
stage5_rho095,41,67,124.269,40.436,0.11989604000000001,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.427768274483059,0.34059755957561993,True,0.002992478191859969,334.1711905270233,476.4713306042463,0.0,476.4713306042463,0.00209876216210497,1.0
stage5_rho095,46,6,142.733,15.812,0.359447412,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.885407919882531,0.45272368614481007,True,4.247793923602663e+17,2.354163167953012e-18,210.69695129730974,114.87010065915267,325.5670519564624,0.003071563888270022,1.0
stage5_rho095,6,62,204.63,17.5427,0.15091094200000002,Diamond,Al,Al-Diamond,9.75,12.893521005694637,4.406952393113743,0.3389963379318264,True,5.672854564770143e+17,1.762780957245497e-18,281.3820970242293,204.87238456112996,486.25448158535926,0.002056536315592714,1.0
stage5_rho095,6,35,209.402,33.877,0.21786133300000002,Diamond,Al,Al-Diamond,9.75,12.893521005694637,4.980712813698237,0.38313175489986445,True,5.019361873514086e+17,1.992285125479295e-18,248.9678791457057,160.38994481667442,409.3578239623801,0.0024428505856331204,1.0
stage5_rho095,6,67,136.497,48.134,0.124963769,Diamond,Al,Al-Diamond,9.75,12.893521005694637,4.1383398600304675,0.3183338353869591,True,6.0410698119453e+17,1.6553359440121872e-18,299.6461256933019,232.33135862535042,531.9774843186523,0.0018797788054522326,1.0
stage5_rho095,6,71,191.963,67.2207,0.389427713,Diamond,Al,Al-Diamond,9.75,12.893521005694637,6.044685832687454,0.4649758332836504,True,4.135864243731101e+17,2.417874333074982e-18,205.14507125492284,108.8961869262566,314.04125818117944,0.003184294973824972,1.0
stage5_rho095,6,70,205.671,51.5204,0.3508922970000001,Diamond,Al,Al-Diamond,9.75,12.893521005694637,5.838340147179445,0.44910308824457273,True,4.2820389648036736e+17,2.3353360588717784e-18,212.39555671646914,116.72969552653583,329.125252243005,0.003038356957373979,1.0
