x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
0.0,0.0,0.0,-0.0,-1118017.8318586443,1118017.8318586443,178002434.66161832,293.15
5.0,0.0,0.0,-0.0,-1714270.3199870433,1714270.3199870433,262394058.863864,293.15
10.0,0.0,0.0,-0.0,-2251894.7950178185,2251894.7950178185,324487316.9507969,293.15
14.999999999999998,0.0,0.0,-0.0,-2565326.2239465797,2565326.2239465797,342430921.0159748,293.15
20.0,0.0,0.0,-0.0,-2580232.9960393324,2580232.9960393324,314057164.9277657,293.15
24.999999999999996,0.0,0.0,-0.0,-2364634.111531825,2364634.111531825,258211567.34702957,293.15
29.999999999999996,0.0,0.0,-0.0,-2067221.8924071866,2067221.8924071866,199845689.5551334,293.15
35.0,0.0,0.0,-0.0,-1806683.5440550146,1806683.5440550146,154152185.39670706,293.15
40.0,0.0,0.0,-0.0,-1623927.0804395971,1623927.0804395971,123860688.65864602,293.15
44.99999999999999,0.0,0.0,-0.0,-1511780.9065886755,1511780.9065886755,105811449.27315561,293.15
49.99999999999999,0.0,0.0,-0.0,-1451128.9647589687,1451128.9647589687,96065375.58117412,293.15
54.99999999999999,0.0,0.0,-0.0,-1417677.223529609,1417677.223529609,91001991.1665086,293.15
59.99999999999999,0.0,0.0,-0.0,-1381485.5616987937,1381485.5616987937,87286566.79659566,293.15
65.0,0.0,0.0,-0.0,-1320444.8551877653,1320444.8551877653,82581342.51415724,293.15
70.0,0.0,0.0,-0.0,-1234660.134142694,1234660.134142694,76336127.25599068,293.15
75.0,0.0,0.0,-0.0,-1142123.9077616492,1142123.9077616492,69449528.7570453,293.15
80.0,0.0,0.0,-0.0,-1064813.3328091966,1064813.3328091966,63321999.78277568,293.15
84.99999999999999,0.0,0.0,-0.0,-1022401.1312955349,1022401.1312955349,59373925.8603852,293.15
89.99999999999999,0.0,0.0,-0.0,-1028737.1672670502,1028737.1672670502,58774212.65409015,293.15
94.99999999999999,0.0,0.0,-0.0,-1084968.8040231105,1084968.8040231105,62032526.37303011,293.15
99.99999999999999,0.0,0.0,-0.0,-1180132.4094591516,1180132.4094591516,68961735.61764367,293.15
104.99999999999999,0.0,0.0,-0.0,-1302271.4662911468,1302271.4662911468,79066386.17002778,293.15
109.99999999999999,0.0,0.0,-0.0,-1440713.8819485686,1440713.8819485686,91450173.49905755,293.15
114.99999999999999,0.0,0.0,-0.0,-1566060.4307496673,1566060.4307496673,103582194.23594448,293.15
119.99999999999999,0.0,0.0,-0.0,-1615105.1399373887,1615105.1399373887,110436468.3720334,293.15
125.0,0.0,0.0,-0.0,-1520718.003168925,1520718.003168925,106659983.33097832,293.15
130.0,0.0,0.0,-0.0,-1269539.0852459068,1269539.0852459068,90812097.71138717,293.15
135.0,0.0,0.0,-0.0,-923622.6830851131,923622.6830851131,67130442.5300213,293.15
140.0,0.0,0.0,-0.0,-580816.4183092228,580816.4183092228,42785703.88277961,293.15
145.0,0.0,0.0,-0.0,-315173.97413362213,315173.97413362213,23475617.661966093,293.15
150.0,0.0,0.0,-0.0,-148506.4701847282,148506.4701847282,11142674.599578295,293.15
155.0,0.0,0.0,-0.0,-62344.511697148526,62344.511697148526,4674130.057722478,293.15
160.0,0.0,0.0,-0.0,-25301.1306441107,25301.1306441107,1862375.528653124,293.15
165.0,0.0,0.0,-0.0,-11977.827531568182,11977.827531568182,844161.6370312615,293.15
169.99999999999997,0.0,0.0,-0.0,-8029.41313235698,8029.41313235698,543658.7659611428,293.15
175.0,0.0,0.0,-0.0,-7559.748195552755,7559.748195552755,522949.70376557007,293.15
179.99999999999997,0.0,0.0,-0.0,-9278.858249157915,9278.858249157915,701560.8568671971,293.15
185.0,0.0,0.0,-0.0,-14979.901642485536,14979.901642485536,1247603.0752269025,293.15
189.99999999999997,0.0,0.0,-0.0,-30879.200282098547,30879.200282098547,2704448.0710239927,293.15
195.0,0.0,0.0,-0.0,-69363.67288581998,69363.67288581998,6094232.236455754,293.15
199.99999999999997,0.0,0.0,-0.0,-147411.18874174327,147411.18874174327,12647742.32636414,293.15
205.0,0.0,0.0,-0.0,-278017.95684496465,278017.95684496465,22974156.15477839,293.15
209.99999999999997,0.0,0.0,-0.0,-454939.5814959058,454939.5814959058,35911791.4377174,293.15
215.0,0.0,0.0,-0.0,-640958.739048662,640958.739048662,48028832.81711999,293.15
219.99999999999997,0.0,0.0,-0.0,-776012.5560786943,776012.5560786943,54850576.76206172,293.15
225.0,0.0,0.0,-0.0,-809730.5067683178,809730.5067683178,53557873.04274274,293.15
229.99999999999997,0.0,0.0,-0.0,-736656.2933468871,736656.2933468871,45077924.48677656,293.15
235.0,0.0,0.0,-0.0,-600547.3944603613,600547.3944603613,33450211.336066406,293.15
239.99999999999997,0.0,0.0,-0.0,-459778.88664563006,459778.88664563006,22844930.138297446,293.15
245.0,0.0,0.0,-0.0,-346899.0802372882,346899.0802372882,15095634.114829682,293.15
250.0,0.0,0.0,-0.0,-260702.0110386525,260702.0110386525,9843479.299836833,293.15
254.99999999999997,0.0,0.0,-0.0,-188292.8747682642,188292.8747682642,6171068.221358838,293.15
260.0,0.0,0.0,-0.0,-124784.8394892343,124784.8394892343,3563851.0792779974,293.15
265.0,0.0,0.0,-0.0,-74870.29386636015,74870.29386636015,1869286.2872064977,293.15
270.0,0.0,0.0,-0.0,-44689.26653585317,44689.26653585317,985373.1022827978,293.15
274.99999999999994,0.0,0.0,-0.0,-35998.431128442826,35998.431128442826,723860.4200450708,293.15
280.0,0.0,0.0,-0.0,-47278.5528417501,47278.5528417501,899591.7086381747,293.15
285.0,0.0,0.0,-0.0,-76900.27947752867,76900.27947752867,1420807.5826704763,293.15
290.0,0.0,0.0,-0.0,-122263.3538191901,122263.3538191901,2225277.8959194054,293.15
294.99999999999994,0.0,0.0,-0.0,-178741.21916117528,178741.21916117528,3225108.5451503177,293.15
300.0,0.0,0.0,-0.0,-240902.97907659708,240902.97907659708,4311307.964311826,293.15
305.0,0.0,0.0,-0.0,-304696.0905387395,304696.0905387395,5386611.502720447,293.15
310.0,0.0,0.0,-0.0,-367766.88989044225,367766.88989044225,6377096.049547996,293.15
