x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
0.0,0.0,0.0,-0.0,-3143734.636792306,3143734.636792306,1312725870.4391587,293.15
5.0,0.0,0.0,-0.0,-4788288.263407491,4788288.263407491,1968742493.934861,293.15
10.0,0.0,0.0,-0.0,-6541883.7720935205,6541883.7720935205,2627157191.541688,293.15
14.999999999999998,0.0,0.0,-0.0,-8057318.692865743,8057318.692865743,3150403251.040558,293.15
20.0,0.0,0.0,-0.0,-9122634.524207199,9122634.524207199,3472409116.2672853,293.15
24.999999999999996,0.0,0.0,-0.0,-9787137.387708284,9787137.387708284,3632976971.0929217,293.15
29.999999999999996,0.0,0.0,-0.0,-10266048.936527452,10266048.936527452,3727556181.448591,293.15
35.0,0.0,0.0,-0.0,-10721992.782871414,10721992.782871414,3824785334.4159074,293.15
40.0,0.0,0.0,-0.0,-11153632.766920384,11153632.766920384,3932539983.917498,293.15
44.99999999999999,0.0,0.0,-0.0,-11465055.457905702,11465055.457905702,4024993196.752341,293.15
49.99999999999999,0.0,0.0,-0.0,-11574093.574981647,11574093.574981647,4076907172.5546575,293.15
54.99999999999999,0.0,0.0,-0.0,-11444431.7079564,11444431.7079564,4072012814.926945,293.15
59.99999999999999,0.0,0.0,-0.0,-11091797.798054293,11091797.798054293,4006590941.4205565,293.15
65.0,0.0,0.0,-0.0,-10622573.192840705,10622573.192840705,3906596368.1955466,293.15
70.0,0.0,0.0,-0.0,-10232606.892114293,10232606.892114293,3831384781.1764736,293.15
75.0,0.0,0.0,-0.0,-10099338.374277435,10099338.374277435,3838217566.30106,293.15
80.0,0.0,0.0,-0.0,-10260572.8125061,10260572.8125061,3938854569.7535486,293.15
84.99999999999999,0.0,0.0,-0.0,-10607433.33786329,10607433.33786329,4096878626.199285,293.15
89.99999999999999,0.0,0.0,-0.0,-10967124.470772048,10967124.470772048,4258701100.766726,293.15
94.99999999999999,0.0,0.0,-0.0,-11182562.2262466,11182562.2262466,4380371775.943374,293.15
99.99999999999999,0.0,0.0,-0.0,-11180123.131246263,11180123.131246263,4445551787.574725,293.15
104.99999999999999,0.0,0.0,-0.0,-11025882.301167872,11025882.301167872,4480678901.442015,293.15
109.99999999999999,0.0,0.0,-0.0,-10887140.29013658,10887140.29013658,4542671070.504027,293.15
114.99999999999999,0.0,0.0,-0.0,-10866310.314735038,10866310.314735038,4661734519.763049,293.15
119.99999999999999,0.0,0.0,-0.0,-10865108.465999676,10865108.465999676,4788557906.442511,293.15
125.0,0.0,0.0,-0.0,-10659462.722217055,10659462.722217055,4819213388.613684,293.15
130.0,0.0,0.0,-0.0,-10100262.67091595,10100262.67091595,4675941819.54505,293.15
135.0,0.0,0.0,-0.0,-9188808.834199218,9188808.834199218,4343566307.550274,293.15
140.0,0.0,0.0,-0.0,-7982961.51694881,7982961.51694881,3836538080.340263,293.15
145.0,0.0,0.0,-0.0,-6531089.225868117,6531089.225868117,3175692931.6833415,293.15
150.0,0.0,0.0,-0.0,-4934450.079227815,4934450.079227815,2417829729.2660117,293.15
155.0,0.0,0.0,-0.0,-3399893.30182229,3399893.30182229,1675464025.5426354,293.15
160.0,0.0,0.0,-0.0,-2159107.900214313,2159107.900214313,1071870931.4640107,293.15
165.0,0.0,0.0,-0.0,-1338460.14544669,1338460.14544669,676072161.9048021,293.15
169.99999999999997,0.0,0.0,-0.0,-926396.6182500467,926396.6182500467,490485282.30228406,293.15
175.0,0.0,0.0,-0.0,-855593.3480129895,855593.3480129895,500247973.8223212,293.15
179.99999999999997,0.0,0.0,-0.0,-1104108.8330154193,1104108.8330154193,735580135.3694333,293.15
185.0,0.0,0.0,-0.0,-1717174.4368015807,1717174.4368015807,1274472884.1160145,293.15
189.99999999999997,0.0,0.0,-0.0,-2737971.397654693,2737971.397654693,2172663749.9829497,293.15
195.0,0.0,0.0,-0.0,-4102751.412210786,4102751.412210786,3372282943.4122415,293.15
199.99999999999997,0.0,0.0,-0.0,-5602993.813544537,5602993.813544537,4667776993.106911,293.15
205.0,0.0,0.0,-0.0,-6983510.016652451,6983510.016652451,5798517916.586629,293.15
209.99999999999997,0.0,0.0,-0.0,-8077055.357021605,8077055.357021605,6586096422.262447,293.15
215.0,0.0,0.0,-0.0,-8815541.715344993,8815541.715344993,6967537775.16637,293.15
219.99999999999997,0.0,0.0,-0.0,-9139665.455695856,9139665.455695856,6931714253.301726,293.15
225.0,0.0,0.0,-0.0,-8995533.550815426,8995533.550815426,6505920166.279569,293.15
229.99999999999997,0.0,0.0,-0.0,-8461015.176480414,8461015.176480414,5816129688.655717,293.15
235.0,0.0,0.0,-0.0,-7808194.965121761,7808194.965121761,5087840647.915138,293.15
239.99999999999997,0.0,0.0,-0.0,-7368366.59400755,7368366.59400755,4534350364.010483,293.15
245.0,0.0,0.0,-0.0,-7320476.185392191,7320476.185392191,4239470162.1184783,293.15
250.0,0.0,0.0,-0.0,-7599489.659643571,7599489.659643571,4143027644.0281157,293.15
254.99999999999997,0.0,0.0,-0.0,-7960430.91255532,7960430.91255532,4110824421.779514,293.15
260.0,0.0,0.0,-0.0,-8113787.678419066,8113787.678419066,4012393048.9184666,293.15
265.0,0.0,0.0,-0.0,-7880494.744163363,7880494.744163363,3781724113.2212462,293.15
270.0,0.0,0.0,-0.0,-7311623.991205161,7311623.991205161,3453448910.2343736,293.15
274.99999999999994,0.0,0.0,-0.0,-6668415.39597169,6668415.39597169,3142714494.87503,293.15
280.0,0.0,0.0,-0.0,-6247316.012777701,6247316.012777701,2969178530.5584273,293.15
285.0,0.0,0.0,-0.0,-6199650.3846332375,6199650.3846332375,2984554335.620772,293.15
290.0,0.0,0.0,-0.0,-6498383.133558996,6498383.133558996,3160109721.7128086,293.15
294.99999999999994,0.0,0.0,-0.0,-7042134.372990018,7042134.372990018,3432896910.0181475,293.15
300.0,0.0,0.0,-0.0,-7762370.282670289,7762370.282670289,3756926011.27074,293.15
