x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
0.0,0.0,0.0,-0.0,-832267.9378150915,832267.9378150915,886616241.4500524,293.15
5.0,0.0,0.0,-0.0,-1227183.1643561511,1227183.1643561511,1262656771.2096148,293.15
10.0,0.0,0.0,-0.0,-1583152.1697154604,1583152.1697154604,1538734256.3929615,293.15
14.999999999999998,0.0,0.0,-0.0,-1788459.132631197,1788459.132631197,1613427228.630232,293.15
20.0,0.0,0.0,-0.0,-1792713.8199347332,1792713.8199347332,1475891038.784017,293.15
24.999999999999996,0.0,0.0,-0.0,-1641263.8870005307,1641263.8870005307,1212055897.995515,293.15
29.999999999999996,0.0,0.0,-0.0,-1433704.5622479713,1433704.5622479713,936129535.9573058,293.15
35.0,0.0,0.0,-0.0,-1249485.8054150168,1249485.8054150168,717743554.0356425,293.15
40.0,0.0,0.0,-0.0,-1115878.1739831953,1115878.1739831953,569446789.061965,293.15
44.99999999999999,0.0,0.0,-0.0,-1028161.6926674636,1028161.6926674636,476816329.755767,293.15
49.99999999999999,0.0,0.0,-0.0,-974199.121348427,974199.121348427,422066159.5560173,293.15
54.99999999999999,0.0,0.0,-0.0,-939193.8307824645,939193.8307824645,389463026.83518463,293.15
59.99999999999999,0.0,0.0,-0.0,-905381.4354131103,905381.4354131103,365430000.92396396,293.15
65.0,0.0,0.0,-0.0,-860237.3617699179,860237.3617699179,341151535.4215746,293.15
70.0,0.0,0.0,-0.0,-804748.5876662914,804748.5876662914,314918659.80763406,293.15
75.0,0.0,0.0,-0.0,-750237.0593852565,750237.0593852565,290194049.5741838,293.15
80.0,0.0,0.0,-0.0,-710045.6173942498,710045.6173942498,272049051.7120067,293.15
84.99999999999999,0.0,0.0,-0.0,-696350.490455921,696350.490455921,265899722.6461224,293.15
89.99999999999999,0.0,0.0,-0.0,-718393.0866504482,718393.0866504482,277004277.9705207,293.15
94.99999999999999,0.0,0.0,-0.0,-777616.2470648083,777616.2470648083,308723148.30574936,293.15
99.99999999999999,0.0,0.0,-0.0,-866889.3994109216,866889.3994109216,361516937.406829,293.15
104.99999999999999,0.0,0.0,-0.0,-977510.8276117535,977510.8276117535,433892639.78514516,293.15
109.99999999999999,0.0,0.0,-0.0,-1101176.0347430676,1101176.0347430676,521513531.4013095,293.15
114.99999999999999,0.0,0.0,-0.0,-1215472.1897817855,1215472.1897817855,610062880.9014915,293.15
119.99999999999999,0.0,0.0,-0.0,-1271636.0609891056,1271636.0609891056,669290132.4271628,293.15
125.0,0.0,0.0,-0.0,-1216132.0307198372,1216132.0307198372,664669158.0658853,293.15
130.0,0.0,0.0,-0.0,-1035484.2161109038,1035484.2161109038,583470520.8235911,293.15
135.0,0.0,0.0,-0.0,-775333.109533002,775333.109533002,448195980.6755682,293.15
140.0,0.0,0.0,-0.0,-511659.29362665204,511659.29362665204,302236396.9965157,293.15
145.0,0.0,0.0,-0.0,-304255.9545031862,304255.9545031862,182811603.4089493,293.15
150.0,0.0,0.0,-0.0,-172806.2484591164,172806.2484591164,104942469.54715617,293.15
155.0,0.0,0.0,-0.0,-104720.94884842659,104720.94884842659,63938538.8986097,293.15
160.0,0.0,0.0,-0.0,-76397.20837274757,76397.20837274757,47272000.20799199,293.15
165.0,0.0,0.0,-0.0,-68622.43213866846,68622.43213866846,44278038.7705403,293.15
169.99999999999997,0.0,0.0,-0.0,-70386.11655540117,70386.11655540117,48909951.97847895,293.15
175.0,0.0,0.0,-0.0,-76705.5340729472,76705.5340729472,58617026.63945631,293.15
179.99999999999997,0.0,0.0,-0.0,-86617.26648013011,86617.26648013011,73771702.80140205,293.15
185.0,0.0,0.0,-0.0,-102870.32918926729,102870.32918926729,98598216.42504749,293.15
189.99999999999997,0.0,0.0,-0.0,-133737.84481390938,133737.84481390938,143847457.87906834,293.15
195.0,0.0,0.0,-0.0,-196572.10795531157,196572.10795531157,230867033.6407032,293.15
199.99999999999997,0.0,0.0,-0.0,-317807.4236926769,317807.4236926769,390217804.3565806,293.15
205.0,0.0,0.0,-0.0,-519787.02523210295,519787.02523210295,641780432.99863,293.15
209.99999999999997,0.0,0.0,-0.0,-794939.0799603637,794939.0799603637,961459694.1642195,293.15
215.0,0.0,0.0,-0.0,-1086052.4431432632,1086052.4431432632,1265426502.7522097,293.15
