x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
0.0,0.0,0.0,-0.0,-12631413.401215132,12631413.401215132,2289590066.950804,293.15
5.0,0.0,0.0,-0.0,-17300695.25576475,17300695.25576475,2944909583.0796866,293.15
10.0,0.0,0.0,-0.0,-16782747.52282375,16782747.52282375,2771219810.819776,293.15
14.999999999999998,0.0,0.0,-0.0,-16394247.040912189,16394247.040912189,2644403984.41101,293.15
20.0,0.0,0.0,-0.0,-15992001.101281269,15992001.101281269,2516230804.013807,293.15
24.999999999999996,0.0,0.0,-0.0,-15532192.543637648,15532192.543637648,2373615579.7811513,293.15
29.999999999999996,0.0,0.0,-0.0,-15013339.841623101,15013339.841623101,2217683082.4426146,293.15
35.0,0.0,0.0,-0.0,-14463355.86459264,14463355.86459264,2058178307.737779,293.15
40.0,0.0,0.0,-0.0,-13931553.687499251,13931553.687499251,1909606826.4935188,293.15
44.99999999999999,0.0,0.0,-0.0,-13469369.138801133,13469369.138801133,1785004696.9799867,293.15
49.99999999999999,0.0,0.0,-0.0,-13105705.843016721,13105705.843016721,1689918205.8153274,293.15
54.99999999999999,0.0,0.0,-0.0,-12836367.751518892,12836367.751518892,1621172224.10687,293.15
59.99999999999999,0.0,0.0,-0.0,-12630823.323198996,12630823.323198996,1569669333.0554433,293.15
65.0,0.0,0.0,-0.0,-12448696.868331762,12448696.868331762,1524728914.7749555,293.15
70.0,0.0,0.0,-0.0,-12256749.776969863,12256749.776969863,1478071669.0368962,293.15
75.0,0.0,0.0,-0.0,-12039978.47706662,12039978.47706662,1426252024.3297217,293.15
80.0,0.0,0.0,-0.0,-11803987.940834852,11803987.940834852,1370889237.7606316,293.15
84.99999999999999,0.0,0.0,-0.0,-11568631.648315234,11568631.648315234,1316766711.7975304,293.15
89.99999999999999,0.0,0.0,-0.0,-11355573.995208073,11355573.995208073,1268711965.6715071,293.15
94.99999999999999,0.0,0.0,-0.0,-11175579.952839019,11175579.952839019,1228810723.288713,293.15
99.99999999999999,0.0,0.0,-0.0,-11023218.744290324,11023218.744290324,1195533373.2862446,293.15
104.99999999999999,0.0,0.0,-0.0,-10882919.324993113,10882919.324993113,1165294434.435207,293.15
109.99999999999999,0.0,0.0,-0.0,-10739979.61706706,10739979.61706706,1134884767.6318786,293.15
114.99999999999999,0.0,0.0,-0.0,-10588894.120883737,10588894.120883737,1103179198.6603367,293.15
