x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
0.0,0.0,0.0,-0.0,-12631413.401217425,12631413.401217425,2289590066.9516397,293.15
5.0,0.0,0.0,-0.0,-17300695.255767886,17300695.255767886,2944909583.080761,293.15
10.0,0.0,0.0,-0.0,-16782747.522826783,16782747.522826783,2771219810.820782,293.15
14.999999999999996,0.0,0.0,-0.0,-16394247.040915135,16394247.040915135,2644403984.411966,293.15
20.0,0.0,0.0,-0.0,-15992001.10128412,15992001.10128412,2516230804.0147085,293.15
24.999999999999993,0.0,0.0,-0.0,-15532192.543640386,15532192.543640386,2373615579.7819924,293.15
29.999999999999993,0.0,0.0,-0.0,-15013339.841625707,15013339.841625707,2217683082.443389,293.15
35.0,0.0,0.0,-0.0,-14463355.864595104,14463355.864595104,2058178307.7384844,293.15
40.0,0.0,0.0,-0.0,-13931553.68750157,13931553.68750157,1909606826.494158,293.15
44.999999999999986,0.0,0.0,-0.0,-13469369.138803322,13469369.138803322,1785004696.9805703,293.15
49.999999999999986,0.0,0.0,-0.0,-13105705.843018794,13105705.843018794,1689918205.815865,293.15
54.999999999999986,0.0,0.0,-0.0,-12836367.751520874,12836367.751520874,1621172224.1073735,293.15
59.999999999999986,0.0,0.0,-0.0,-12630823.323200889,12630823.323200889,1569669333.0559165,293.15
65.0,0.0,0.0,-0.0,-12448696.868333582,12448696.868333582,1524728914.775404,293.15
70.0,0.0,0.0,-0.0,-12256749.77697162,12256749.77697162,1478071669.0373228,293.15
75.0,0.0,0.0,-0.0,-12039978.47706831,12039978.47706831,1426252024.3301253,293.15
80.0,0.0,0.0,-0.0,-11803987.940836484,11803987.940836484,1370889237.761013,293.15
84.99999999999999,0.0,0.0,-0.0,-11568631.648316825,11568631.648316825,1316766711.797895,293.15
89.99999999999997,0.0,0.0,-0.0,-11355573.995209621,11355573.995209621,1268711965.6718557,293.15
94.99999999999997,0.0,0.0,-0.0,-11175579.952840528,11175579.952840528,1228810723.2890475,293.15
99.99999999999997,0.0,0.0,-0.0,-11023218.744291801,11023218.744291801,1195533373.2865674,293.15
104.99999999999997,0.0,0.0,-0.0,-10882919.324994566,10882919.324994566,1165294434.4355206,293.15
109.99999999999997,0.0,0.0,-0.0,-10739979.617068488,10739979.617068488,1134884767.6321826,293.15
114.99999999999997,0.0,0.0,-0.0,-10588894.120885141,10588894.120885141,1103179198.660632,293.15
119.99999999999997,0.0,0.0,-0.0,-10437786.660689995,10437786.660689995,1071918298.44225,293.15
125.0,0.0,0.0,-0.0,-10313071.546097087,10313071.546097087,1046455859.2052612,293.15
130.0,0.0,0.0,-0.0,-10272770.258338664,10272770.258338664,1038293186.04734,293.15
134.99999999999997,0.0,0.0,-0.0,-10449690.85063598,10449690.85063598,1074364716.6252563,293.15
140.0,0.0,0.0,-0.0,-8631451.447870346,8631451.447870346,950803611.283052,293.15
145.0,0.0,0.0,-0.0,-5081877.273941034,5081877.273941034,620392171.0202067,293.15
150.0,0.0,0.0,-0.0,-2430373.012482624,2430373.012482624,311131069.93442976,293.15
154.99999999999997,0.0,0.0,-0.0,-975931.2648083708,975931.2648083708,127916757.69768935,293.15
160.0,0.0,0.0,-0.0,-333980.93166369613,333980.93166369613,43896026.90519089,293.15
