i,j,material_i,material_j,contact_type,x_um,y_um,z_um,normal_force_n,contact_radius_um,electrical_resistance_ohm,electrical_conductance_s,source
44,17,Al,Al,Al-Al,64.5421,13.6718,3.67623,1.5863159000000004e-07,0.04860860566423625,0.27258547779634584,3.6685740123951884,liggghts_pair_gran_local
74,5,Al,Diamond,Al-Diamond,119.626,21.5959,-24.5141,0.029733860100000006,2.503297076321165,9.986829064946577e+17,1.0013188305284661e-18,liggghts_pair_gran_local
18,93,Al,Al,Al-Al,150.873,20.1285,-22.8998,0.0028599508900000003,1.2745869364875182,0.010395524715257235,96.19524048962403,liggghts_pair_gran_local
18,4,Al,Diamond,Al-Diamond,161.633,23.462,-12.5596,0.00820149277,1.6295196292584908,1.5341944675668739e+18,6.518078517033963e-19,liggghts_pair_gran_local
18,59,Al,Al,Al-Al,148.383,12.3775,-2.68812,0.00419758634,1.4484932767164465,0.00914743631398559,109.32024729935445,liggghts_pair_gran_local
16,11,Diamond,Diamond,Diamond-Diamond,228.672,17.9054,-9.4212,0.0126810315,0.8266736533216716,6.048335978665117e+18,1.653347306643343e-19,liggghts_pair_gran_local
16,4,Diamond,Diamond,Diamond-Diamond,199.17,29.5016,-4.83218,0.0132518232,0.9036726078938616,5.532977271108411e+18,1.8073452157877234e-19,liggghts_pair_gran_local
16,56,Diamond,Al,Al-Diamond,218.455,34.8974,-2.68357,7.3788817100000006e-06,0.1479715243249265,1.6895142571555326e+19,5.91886097299706e-20,liggghts_pair_gran_local
16,95,Diamond,Al,Al-Diamond,199.903,14.9561,10.653,0.0038858231100000005,1.1949295667029647,2.0921735219072118e+18,4.779718266811859e-19,liggghts_pair_gran_local
16,13,Diamond,Diamond,Diamond-Diamond,218.441,27.1223,12.7465,0.00495748286,0.6044628900246494,8.271806396247262e+18,1.2089257800492988e-19,liggghts_pair_gran_local
11,20,Diamond,Al,Al-Diamond,261.923,15.0354,-22.0984,2.09784247e-05,0.2096229954865603,1.1926172480252932e+19,8.384919819462412e-20,liggghts_pair_gran_local
11,89,Diamond,Al,Al-Diamond,239.941,31.5455,-26.5039,0.03338145570000001,2.4472765875521447,1.0215437081023159e+18,9.78910635020858e-19,liggghts_pair_gran_local
11,1,Diamond,Diamond,Diamond-Diamond,257.224,22.3607,-5.12201,0.022689424800000003,1.0810863963862443,4.624977260571901e+18,2.1621727927724884e-19,liggghts_pair_gran_local
20,62,Al,Al,Al-Al,281.998,22.9253,-28.7842,3.67690701e-05,0.29859153171085334,0.04437500261337245,22.535209940441764,liggghts_pair_gran_local
45,81,Al,Al,Al-Al,308.919,12.1886,-20.0559,0.007953806360000001,1.7924275437680532,0.007392209546247967,135.27755047306061,liggghts_pair_gran_local
45,2,Al,Diamond,Al-Diamond,313.402,22.6646,-9.85455,0.036267902100000006,2.67466527392903,9.346963989731507e+17,1.0698661095716119e-18,liggghts_pair_gran_local
45,1,Al,Diamond,Al-Diamond,298.811,17.1191,-0.6827,0.029063183700000002,2.484332322986384,1.0063065946808525e+18,9.937329291945536e-19,liggghts_pair_gran_local
81,2,Al,Diamond,Al-Diamond,314.869,23.4805,-27.2954,0.00446696533,1.3307592332929539,1.878626830049316e+18,5.323036933171815e-19,liggghts_pair_gran_local
38,78,Al,Al,Al-Al,383.639,25.1791,-28.5752,1.9810899200000001e-07,0.0523461405823624,0.25312276803200423,3.950652119423577,liggghts_pair_gran_local
8,3,Diamond,Diamond,Diamond-Diamond,48.2431,52.4734,-9.11189,0.131974376,2.13990926173626,2.3365476702237107e+18,4.279818523472521e-19,liggghts_pair_gran_local
5,93,Diamond,Al,Al-Diamond,137.871,32.5681,-24.2046,0.00367480186,1.2469238641918083,2.0049339593162499e+18,4.987695456767233e-19,liggghts_pair_gran_local
5,4,Diamond,Diamond,Diamond-Diamond,147.164,46.2148,-7.95656,0.0329694754,1.3477298010511074,3.709942449963228e+18,2.695459602102215e-19,liggghts_pair_gran_local
5,3,Diamond,Diamond,Diamond-Diamond,92.0438,59.4261,-4.3696,0.0639248892,1.6805656427582096,2.9751887535876347e+18,3.361131285516419e-19,liggghts_pair_gran_local
5,25,Diamond,Al,Al-Diamond,135.733,58.5178,-24.059,0.00046563202900000005,0.6262911040204984,3.99175396864359e+18,2.5051644160819934e-19,liggghts_pair_gran_local
5,59,Diamond,Al,Al-Diamond,134.396,21.7528,3.99779,0.0211056446,2.233031423085916,1.1195543305634048e+18,8.932125692343664e-19,liggghts_pair_gran_local
5,48,Diamond,Al,Al-Diamond,125.387,33.0915,20.9216,0.00846905775,1.6470507924605324,1.5178645439739261e+18,6.58820316984213e-19,liggghts_pair_gran_local
5,15,Diamond,Diamond,Diamond-Diamond,124.874,67.425,11.0853,0.006407367890000001,0.7092714204172734,7.049487482603537e+18,1.4185428408345468e-19,liggghts_pair_gran_local
93,4,Al,Diamond,Al-Diamond,155.851,34.1121,-25.6341,0.0017201397800000002,0.9681661048132691,2.582201532950977e+18,3.8726644192530766e-19,liggghts_pair_gran_local
4,92,Diamond,Al,Al-Diamond,201.876,47.9867,-25.7614,0.018818125,2.1492523515110413,1.1631951912218982e+18,8.597009406044165e-19,liggghts_pair_gran_local
4,25,Diamond,Al,Al-Diamond,153.713,60.0618,-25.4885,0.000841250067,0.7627876709092531,3.277452029370069e+18,3.0511506836370127e-19,liggghts_pair_gran_local
4,58,Diamond,Al,Al-Diamond,196.342,64.8861,-25.737,0.0100575739,1.7441869723472696,1.433332572502581e+18,6.976747889389078e-19,liggghts_pair_gran_local
4,86,Diamond,Al,Al-Diamond,201.223,65.3432,-8.43246,0.0136828353,1.9326534842480592,1.2935583229875684e+18,7.730613936992235e-19,liggghts_pair_gran_local
4,32,Diamond,Al,Al-Diamond,169.945,23.6441,4.26329,0.00175181502,0.9740727099199837,2.566543518302001e+18,3.8962908396799355e-19,liggghts_pair_gran_local
4,46,Diamond,Al,Al-Diamond,175.37,50.7244,19.3697,0.00354487546,1.2320517640857842,2.029135522447036e+18,4.928207056343137e-19,liggghts_pair_gran_local
4,23,Diamond,Al,Al-Diamond,164.013,70.7478,4.56759,0.013023227,1.901084836181398,1.3150386307965135e+18,7.604339344725593e-19,liggghts_pair_gran_local
56,6,Al,Diamond,Al-Diamond,231.957,55.6092,-7.00333,7.358385850000001e-06,0.15716511208527353,1.590683814511943e+19,6.286604483410941e-20,liggghts_pair_gran_local
92,89,Al,Al,Al-Al,224.56,44.5354,-32.8005,0.016893747400000002,2.3040501966404205,0.005750742765639427,173.89058087852231,liggghts_pair_gran_local
92,58,Al,Al,Al-Al,208.733,59.7592,-32.4349,0.0034924240300000004,1.3623611809383727,0.009725761556765447,102.81971176893379,liggghts_pair_gran_local
89,6,Al,Diamond,Al-Diamond,241.508,51.6181,-27.6813,0.029055245200000003,2.4841061070256227,1.00639823433042e+18,9.936424428102492e-19,liggghts_pair_gran_local
62,2,Al,Diamond,Al-Diamond,300.738,37.4958,-26.9128,2.46480242e-05,0.23515596420930163,1.0631242156268952e+19,9.406238568372065e-20,liggghts_pair_gran_local
62,63,Al,Al,Al-Al,289.175,45.8424,-32.0868,1.9508542400000003e-05,0.24172684204441133,0.05481393745079266,18.243535248634817,liggghts_pair_gran_local
2,63,Diamond,Al,Al-Diamond,299.984,55.6081,-27.0245,0.006393629390000001,1.4997232134806413,1.6669742640029294e+18,5.998892853922565e-19,liggghts_pair_gran_local
2,1,Diamond,Diamond,Diamond-Diamond,302.042,39.0178,0.011436,0.030214246900000002,1.309089714391765,3.8194479301390904e+18,2.61817942878353e-19,liggghts_pair_gran_local
2,7,Diamond,Diamond,Diamond-Diamond,348.166,61.6383,-0.0176895,0.0745762595,1.7691541883153923,2.8262092886098606e+18,3.5383083766307844e-19,liggghts_pair_gran_local
2,9,Diamond,Diamond,Diamond-Diamond,324.665,72.4684,2.34132,0.00860595334,0.7825622656253757,6.389267946626978e+18,1.5651245312507514e-19,liggghts_pair_gran_local
61,83,Al,Al,Al-Al,21.9302,81.9558,-16.2518,5.066593200000001e-06,0.1542251790355088,0.08591333842413189,11.639636153623307,liggghts_pair_gran_local
3,88,Diamond,Al,Al-Diamond,84.8821,87.0524,-23.4387,0.00502159224,1.3837015977205989,1.8067479318650086e+18,5.534806390882395e-19,liggghts_pair_gran_local
3,90,Diamond,Al,Al-Diamond,74.4998,87.3501,22.1022,0.032404970400000004,2.576118504833886,9.704522502784497e+17,1.0304474019335545e-18,liggghts_pair_gran_local
25,10,Al,Diamond,Al-Diamond,134.804,74.1645,-29.9533,0.00077775925,0.6989772272058855,3.576654435500827e+18,2.795908908823542e-19,liggghts_pair_gran_local
58,86,Al,Al,Al-Al,208.265,72.198,-20.0158,0.0009892813990000002,0.8947256451926925,0.014809008852257067,67.52646378812774,liggghts_pair_gran_local
58,84,Al,Al,Al-Al,211.626,82.2618,-32.2737,0.010946737700000002,1.9937843148183019,0.00664565364544334,150.47428791081524,liggghts_pair_gran_local
86,6,Al,Diamond,Al-Diamond,224.304,73.3179,-9.86659,0.0150344851,1.994304552171278,1.2535698207568904e+18,7.977218208685114e-19,liggghts_pair_gran_local
86,80,Al,Al,Al-Al,203.404,82.2945,-8.65533,0.0008678164080000001,0.8564970868480165,0.015469988402133563,64.64128957343522,liggghts_pair_gran_local
86,27,Al,Al,Al-Al,205.84,74.3024,3.42063,0.00560881569,1.5954149626195457,0.008305049351075748,120.40867642411668,liggghts_pair_gran_local
86,22,Al,Al,Al-Al,215.637,82.4025,-0.442085,0.00229873807,1.1850766302035494,0.011180711577886885,89.43974567573957,liggghts_pair_gran_local
6,63,Diamond,Al,Al-Diamond,277.935,63.7578,-26.9964,0.006441426940000001,1.5034511536656574,1.662840853794681e+18,6.013804614662629e-19,liggghts_pair_gran_local
6,84,Diamond,Al,Al-Diamond,228.994,87.3603,-26.9706,0.00790506082,1.6096459682175956,1.5531365588225075e+18,6.438583872870383e-19,liggghts_pair_gran_local
6,1,Diamond,Diamond,Diamond-Diamond,265.577,52.4961,0.0579229,0.07387002660000001,1.7635518701482664,2.8351873764731607e+18,3.527103740296533e-19,liggghts_pair_gran_local
6,14,Diamond,Diamond,Diamond-Diamond,238.894,73.0313,11.1846,0.00135016553,0.4220671766104715,1.1846455439046216e+19,8.441343532209431e-20,liggghts_pair_gran_local
88,10,Al,Diamond,Al-Diamond,105.257,89.9793,-30.0524,0.00391548854,1.197962666963422,2.0868763851689661e+18,4.791850667853688e-19,liggghts_pair_gran_local
10,34,Diamond,Al,Al-Diamond,134.178,90.017,-14.0066,0.00585906126,1.3702210799124648,1.8245230909450831e+18,5.480884319649859e-19,liggghts_pair_gran_local
10,94,Diamond,Al,Al-Diamond,140.177,88.9665,-29.9241,1.9777568500000002e-05,0.20554437555845628,1.2162823688109173e+19,8.221775022338251e-20,liggghts_pair_gran_local
34,47,Al,Al,Al-Al,155.185,91.5236,-7.65325,5.19223071e-05,0.33499212540681506,0.039553168552571724,25.28242455900491,liggghts_pair_gran_local
34,15,Al,Diamond,Al-Diamond,137.032,87.823,6.17549,0.0021458923500000003,0.9803562956189663,2.5500932785070536e+18,3.921425182475865e-19,liggghts_pair_gran_local
34,23,Al,Al,Al-Al,150.507,86.2647,3.21089,0.00596371636,1.6283793927307435,0.008136924391913452,122.8965579419429,liggghts_pair_gran_local
94,47,Al,Al,Al-Al,160.351,90.619,-21.36,3.18255231e-05,0.28456083157791356,0.04656297891219829,21.476289175691594,liggghts_pair_gran_local
47,67,Al,Al,Al-Al,175.013,91.4122,-21.4151,0.00046001520800000007,0.6931714511700242,0.019115039976956554,52.31482650339805,liggghts_pair_gran_local
47,23,Al,Al,Al-Al,163.106,85.5311,0.155074,0.00035186322400000003,0.6339298913836758,0.020901364930243763,47.843765387447235,liggghts_pair_gran_local
47,33,Al,Al,Al-Al,174.228,91.5912,0.51013,0.00018966945800000002,0.515920049375882,0.02568227386400038,38.9373622170477,liggghts_pair_gran_local
67,80,Al,Al,Al-Al,188.644,92.0488,-20.9088,0.000718662973,0.8043128878926922,0.016473688535210633,60.70285946359942,liggghts_pair_gran_local
80,33,Al,Al,Al-Al,187.859,92.2277,1.01643,0.000840502458,0.8474152339990715,0.015635782162507734,63.95586671691106,liggghts_pair_gran_local
59,32,Al,Al,Al-Al,154.34,12.5081,9.36828,0.00553977086,1.5888413659129865,0.008339410267296402,119.91255591796124,liggghts_pair_gran_local
59,21,Al,Al,Al-Al,145.288,12.4795,20.2597,0.006452162260000001,1.6716744239751171,0.007926184554820482,126.16410746982017,liggghts_pair_gran_local
32,95,Al,Al,Al-Al,178.856,12.7784,15.0207,0.003914022540000001,1.4151127542129944,0.009363211490075856,106.80096258211279,liggghts_pair_gran_local
32,70,Al,Al,Al-Al,168.564,19.5135,21.3985,0.0014660368399999999,1.0200737356508063,0.012989257086936476,76.98669703024953,liggghts_pair_gran_local
21,48,Al,Al,Al-Al,138.831,20.6055,32.3884,0.0034975065000000002,1.363021734908054,0.009721048212700593,102.86956489872107,liggghts_pair_gran_local
21,70,Al,Al,Al-Al,159.512,19.4849,32.2899,0.005405775000000001,1.5759263831438555,0.008407753142356332,118.93784023727211,liggghts_pair_gran_local
95,41,Al,Al,Al-Al,192.47,23.6515,25.8561,0.00421840554,1.4508840753800303,0.009132362967406217,109.50068493434192,liggghts_pair_gran_local
52,13,Al,Diamond,Al-Diamond,235.119,22.5383,30.0393,0.006244835540000001,1.399657041800252,1.786151839585272e+18,5.598628167201007e-19,liggghts_pair_gran_local
52,1,Al,Diamond,Al-Diamond,253.483,17.812,27.0623,0.0059292758400000005,1.4624999027618046,1.709401823055828e+18,5.849999611047218e-19,liggghts_pair_gran_local
73,79,Al,Al,Al-Al,336.581,13.0098,20.6203,2.83818369e-07,0.05901061005685624,0.22453589256633227,4.453630947687263,liggghts_pair_gran_local
48,75,Al,Al,Al-Al,139.476,33.934,27.2748,1.9162817400000002e-08,0.024029038404777617,0.5514161564353546,1.813512332436047,liggghts_pair_gran_local
75,70,Al,Al,Al-Al,160.157,32.8134,27.1762,1.65808907e-08,0.022897385181313366,0.5786686949221334,1.7281045419859142,liggghts_pair_gran_local
70,41,Al,Al,Al-Al,182.177,30.3866,32.2338,0.00515923454,1.5515949648775462,0.008539599766647674,117.10150678321104,liggghts_pair_gran_local
70,46,Al,Al,Al-Al,172.452,38.9211,32.2248,0.0015598013300000002,1.0413731274382327,0.012723585476605166,78.59419829722512,liggghts_pair_gran_local
41,46,Al,Al,Al-Al,184.433,43.0376,32.2447,0.000406684037,0.6652766995308287,0.019916524972758348,50.20956222874178,liggghts_pair_gran_local
41,13,Al,Diamond,Al-Diamond,206.819,35.2579,30.064,0.00344717635,1.1481601394911864,2.1773966139495916e+18,4.592640557964745e-19,liggghts_pair_gran_local
41,36,Al,Al,Al-Al,198.667,46.3381,32.204,0.005227230530000001,1.5583816377877278,0.008502410243237751,117.61370851228135,liggghts_pair_gran_local
46,85,Al,Al,Al-Al,164.127,58.8756,32.199,0.0014652487500000002,1.0198909175972424,0.01299158544446658,76.97289944130132,liggghts_pair_gran_local
46,24,Al,Al,Al-Al,176.033,64.3869,32.1893,0.00107514537,0.9198965726734764,0.014403793201981175,69.4261564281869,liggghts_pair_gran_local
13,36,Diamond,Al,Al-Diamond,212.055,49.0018,30.0062,0.0009760478310000001,0.7539426848998426,3.315901924735979e+18,3.0157707395993705e-19,liggghts_pair_gran_local
13,14,Diamond,Diamond,Diamond-Diamond,227.317,54.0328,26.983,0.00618464536,0.6507100334063392,7.683914098920502e+18,1.3014200668126783e-19,liggghts_pair_gran_local
1,64,Diamond,Al,Al-Diamond,265.281,54.155,27.0197,0.0023741536600000003,1.0779490535702227,2.319219068582018e+18,4.3117962142808914e-19,liggghts_pair_gran_local
15,85,Diamond,Al,Al-Diamond,143.396,72.6809,27.5199,0.0017806582600000001,0.9212443227248056,2.7137209297590436e+18,3.6849772908992225e-19,liggghts_pair_gran_local
15,23,Diamond,Al,Al-Diamond,146.231,80.864,15.2432,0.00162953445,0.8944082854954275,2.7951440528250573e+18,3.57763314198171e-19,liggghts_pair_gran_local
15,69,Diamond,Al,Al-Diamond,114.097,87.8312,27.6145,0.0080517416,1.523390493927026,1.6410762768746514e+18,6.093561975708104e-19,liggghts_pair_gran_local
15,30,Diamond,Al,Al-Diamond,144.63,87.9316,27.741,0.003993042780000001,1.205820378753124,2.0732772841218022e+18,4.823281515012497e-19,liggghts_pair_gran_local
85,23,Al,Al,Al-Al,155.987,73.2256,21.5908,0.00042409055600000007,0.6746359366382175,0.01964022264515904,50.91591974628057,liggghts_pair_gran_local
23,30,Al,Al,Al-Al,157.049,86.3582,21.7812,0.011292686100000001,2.014569973050205,0.006577086016991774,152.04301683397776,liggghts_pair_gran_local
23,33,Al,Al,Al-Al,169.551,86.3322,11.3743,0.00509637951,1.5452681670024786,0.008574563485445014,116.62401260396064,liggghts_pair_gran_local
24,33,Al,Al,Al-Al,179.016,84.797,21.9361,0.0018888363600000002,1.1099788812695344,0.01193716405202715,83.77199103921015,liggghts_pair_gran_local
27,36,Al,Al,Al-Al,201.547,67.1261,23.3049,0.00457817567,1.4910106840256432,0.008886589574412546,112.52910822835044,liggghts_pair_gran_local
27,33,Al,Al,Al-Al,190.295,84.2357,13.0924,0.004704058860000001,1.5045531011951556,0.008806601767311994,113.55117744869099,liggghts_pair_gran_local
27,49,Al,Al,Al-Al,204.001,84.2122,23.3463,0.00393964606,1.4181940965100863,0.009342867829308979,107.03351671774237,liggghts_pair_gran_local
36,14,Al,Diamond,Al-Diamond,214.545,63.8719,29.9651,0.0022390800500000003,0.9943467038239774,2.514213594097214e+18,3.9773868152959093e-19,liggghts_pair_gran_local
14,64,Diamond,Al,Al-Diamond,247.427,67.6552,29.9627,0.00174738275,0.9154697104110834,2.730838575617535e+18,3.661878841644333e-19,liggghts_pair_gran_local
14,49,Diamond,Al,Al-Diamond,217.394,83.7138,30.0133,0.0027560128700000004,1.0656347609299028,2.34601956660876e+18,4.262539043719611e-19,liggghts_pair_gran_local
14,22,Diamond,Al,Al-Diamond,224.029,83.6756,15.2027,0.00261196606,1.0467359528998665,2.388376928368636e+18,4.1869438115994656e-19,liggghts_pair_gran_local
14,53,Diamond,Al,Al-Diamond,243.148,83.6857,29.9106,0.00438087816,1.2436600676116372,2.010195603370201e+18,4.974640270446549e-19,liggghts_pair_gran_local
64,50,Al,Al,Al-Al,268.209,74.3474,32.0873,0.0023960263900000005,1.2015646330898921,0.011027288616116194,90.68412325206734,liggghts_pair_gran_local
