stage_id,i,j,nx,ny,nz,gap_um,overlap_um,force_x,force_y,force_z,normal_force,contact_point_x_um,contact_point_y_um,contact_point_z_um,source,force_unit
pilot_final,44,17,-0.549962935,-0.0320029908,0.834575688,-0.00242983174,0.0024476,0.012696,0.000585117,-0.0106187,0.015863159,64.5421,13.6718,3.67623,liggghts_pair_gran_local,dyne
pilot_final,74,5,-0.0754150161,0.756948007,0.649108843,-1.21787006,1.21794,129.774,-2416.39,-1747.81,2973.38601,119.626,21.5959,-24.5141,liggghts_pair_gran_local,dyne
pilot_final,18,93,-0.324357198,0.597415239,-0.733408099,-0.447923312,0.448022,133.332,-217.516,153.804,285.995089,150.873,20.1285,-22.8998,liggghts_pair_gran_local,dyne
pilot_final,18,4,0.515092689,0.853799734,0.0755350016,-0.516384026,0.516084,-437.784,-702.978,73.5153,820.149277,161.633,23.462,-12.5596,liggghts_pair_gran_local,dyne
pilot_final,18,59,-0.521916739,-0.00931095056,0.852945616,-0.578320601,0.578621,320.925,-21.0474,-295.987,419.758634,148.383,12.3775,-2.68812,liggghts_pair_gran_local,dyne
pilot_final,16,11,0.898574033,-0.00201254306,-0.438817339,-0.0753028534,0.0759323,-1159.25,26.9396,515.885,1268.10315,228.672,17.9054,-9.4212,liggghts_pair_gran_local,dyne
pilot_final,16,4,-0.743455384,0.643195735,-0.183230288,-0.0724433941,0.0725888,1050.31,-805.969,141.505,1325.18232,199.17,29.5016,-4.83218,liggghts_pair_gran_local,dyne
pilot_final,16,56,0.329118427,0.942144649,-0.0635965464,-0.00507791494,0.00511324,-0.410819,-0.630819,0.13143,0.737888171,218.455,34.8974,-2.68357,liggghts_pair_gran_local,dyne
pilot_final,16,95,-0.709275404,-0.167664997,0.684702016,-0.333491778,0.333448,327.211,-11.7296,-231.439,388.582311,199.903,14.9561,10.653,liggghts_pair_gran_local,dyne
pilot_final,16,13,0.328619692,0.51061332,0.794533281,-0.0404994084,0.0405972,-187.743,-225.722,-401.236,495.748286,218.441,27.1223,12.7465,liggghts_pair_gran_local,dyne
pilot_final,11,20,0.95088459,-0.157494395,-0.266484543,-0.0109606317,0.0102618,-1.98652,0.264848,0.627334,2.09784247,261.923,15.0354,-22.0984,liggghts_pair_gran_local,dyne
pilot_final,11,89,-0.283465969,0.795684348,-0.535288205,-1.39856313,1.39865,709.029,-2722.03,1814.5,3338.14557,239.941,31.5455,-26.5039,liggghts_pair_gran_local,dyne
pilot_final,11,1,0.691003532,0.250064942,0.678219466,-0.104441639,0.103889,-1678.15,-656.141,-1393.73,2268.94248,257.224,22.3607,-5.12201,liggghts_pair_gran_local,dyne
pilot_final,20,62,0.594212647,0.765077175,-0.248129496,-0.0244505356,0.0245876,-2.13477,-2.89547,0.778389,3.67690701,281.998,22.9253,-28.7842,liggghts_pair_gran_local,dyne
pilot_final,45,81,0.0837381643,0.0465676572,-0.995399102,-0.886003073,0.886021,-55.6698,13.6692,795.013,795.380636,308.919,12.1886,-20.0559,liggghts_pair_gran_local,dyne
pilot_final,45,2,0.439945738,0.879249798,-0.182667845,-1.39032309,1.3904,-1792.86,-3083.1,696.415,3626.79021,313.402,22.6646,-9.85455,liggghts_pair_gran_local,dyne
pilot_final,45,1,-0.716711057,0.436414092,0.543937497,-1.19933333,1.19956,2076.11,-1269.33,-1589.14,2906.31837,298.811,17.1191,-0.6827,liggghts_pair_gran_local,dyne
pilot_final,81,2,0.379856771,0.830274111,0.407864848,-0.344448615,0.344191,-125.692,-334.74,-296.73,446.696533,314.869,23.4805,-27.2954,liggghts_pair_gran_local,dyne
pilot_final,38,78,0.239349728,0.936875529,-0.254903807,-0.000388265976,0.000309069,-0.00431392,-0.0171061,0.0107966,0.0198108992,383.639,25.1791,-28.5752,liggghts_pair_gran_local,dyne
pilot_final,8,3,0.617039975,0.761131558,0.199850996,-0.305326279,0.30528,-7393.31,-10716,-2397.71,13197.4376,48.2431,52.4734,-9.11189,liggghts_pair_gran_local,dyne
pilot_final,5,93,0.686262997,-0.372385853,-0.624797468,-0.302083681,0.302191,-301.756,152.07,166.082,367.480186,137.871,32.5681,-24.2046,liggghts_pair_gran_local,dyne
pilot_final,5,4,0.993221762,0.0852921861,-0.0789669168,-0.121126762,0.121092,-3268.97,-505.904,88.4382,3296.94754,147.164,46.2148,-7.95656,liggghts_pair_gran_local,dyne
pilot_final,5,3,-0.848784244,0.527156126,0.0408867467,-0.188687099,0.188287,5349.61,-3484.83,-361.339,6392.48892,92.0438,59.4261,-4.3696,liggghts_pair_gran_local,dyne
pilot_final,5,25,0.611264042,0.496093491,-0.616642132,-0.0758327316,0.0762351,-28.4574,-32.2471,21.3586,46.5632029,135.733,58.5178,-24.059,liggghts_pair_gran_local,dyne
pilot_final,5,59,0.578669928,-0.747117552,0.327042012,-0.969130926,0.969149,-1215.53,1658.44,-514.065,2110.56446,134.396,21.7528,3.99779,liggghts_pair_gran_local,dyne
pilot_final,5,48,0.268618929,-0.35669646,0.894768968,-0.527192673,0.527248,-269.737,283.943,-752.337,846.905775,125.387,33.0915,20.9216,liggghts_pair_gran_local,dyne
pilot_final,5,15,0.248480472,0.792864568,0.556437985,-0.0445212004,0.044717,-135.38,-487.822,-395.949,640.736789,124.874,67.425,11.0853,liggghts_pair_gran_local,dyne
pilot_final,93,4,0.704637839,0.490621407,0.512616963,-0.182259692,0.18218,-151.783,-81.5781,-48.8432,172.013978,155.851,34.1121,-25.6341,liggghts_pair_gran_local,dyne
pilot_final,4,92,0.850280495,-0.0266111977,-0.52565666,-0.897423007,0.897794,-1642.24,48.9491,921.04,1881.8125,201.876,47.9867,-25.7614,liggghts_pair_gran_local,dyne
pilot_final,4,25,-0.774955908,0.377444449,-0.506930989,-0.113689119,0.113086,76.0298,-32.0456,25.8608,84.1250067,153.713,60.0618,-25.4885,liggghts_pair_gran_local,dyne
pilot_final,4,58,0.657099526,0.544741567,-0.521034392,-0.590899272,0.591272,-616.632,-540.851,587.185,1005.75739,196.342,64.8861,-25.737,liggghts_pair_gran_local,dyne
pilot_final,4,86,0.82467453,0.561972298,0.0640238672,-0.72514038,0.725953,-1190.65,-669.338,-159.835,1368.28353,201.223,65.3432,-8.43246,liggghts_pair_gran_local,dyne
pilot_final,4,32,-0.232835547,-0.841083086,0.488228277,-0.184372623,0.18441,86.273,148.59,-61.6886,175.181502,169.945,23.6441,4.26329,liggghts_pair_gran_local,dyne
pilot_final,4,46,-0.0513522987,0.0656527314,0.996520276,-0.294998377,0.295025,73.0274,-20.325,-350.623,354.487546,175.37,50.7244,19.3697,liggghts_pair_gran_local,dyne
pilot_final,4,23,-0.436695155,0.744816911,0.504524639,-0.702759491,0.702432,405.958,-1031.37,-707.327,1302.3227,164.013,70.7478,4.56759,liggghts_pair_gran_local,dyne
pilot_final,56,6,0.709640258,0.651300949,-0.268733656,-0.00497590402,0.00480091,-0.409953,-0.629037,0.13109,0.735838585,231.957,55.6092,-7.00333,liggghts_pair_gran_local,dyne
pilot_final,92,89,0.966861187,-0.253720059,-0.0283826721,-1.46390288,1.46401,-1650.7,351.165,150.938,1689.37474,224.56,44.5354,-32.8005,liggghts_pair_gran_local,dyne
pilot_final,92,58,-0.311204229,0.950342072,0.00136926722,-0.511914474,0.511853,34.189,-356.253,-30.0777,349.242403,208.733,59.7592,-32.4349,liggghts_pair_gran_local,dyne
pilot_final,89,6,0.402435291,0.806767688,0.432633488,-1.19949099,1.19934,-1039.6,-2400.36,-1272.73,2905.52452,241.508,51.6181,-27.6813,liggghts_pair_gran_local,dyne
pilot_final,62,2,0.848093816,0.356534835,0.391943606,-0.0106522357,0.0107476,-2.13826,-0.863794,-0.876128,2.46480242,300.738,37.4958,-26.9128,liggghts_pair_gran_local,dyne
pilot_final,62,63,-0.0415642824,0.999116833,-0.00616152002,-0.0161519243,0.0161143,0.023713,-1.95044,0.187708,1.95085424,289.175,45.8424,-32.0868,liggghts_pair_gran_local,dyne
pilot_final,2,63,-0.881971431,0.249836693,-0.399634861,-0.43739685,0.437143,622.052,-224.56,86.6463,639.362939,299.984,55.6081,-27.0245,liggghts_pair_gran_local,dyne
pilot_final,2,1,-0.805946254,-0.306296313,0.506589779,-0.113872669,0.114248,2557.18,1018.52,-1280.14,3021.42469,302.042,39.0178,0.011436,liggghts_pair_gran_local,dyne
pilot_final,2,7,0.735637895,0.4498672,0.506415234,-0.208354829,0.20866,-5368.54,-3557.61,-3767.41,7457.62595,348.166,61.6383,-0.0176895,liggghts_pair_gran_local,dyne
pilot_final,2,9,-0.0503695223,0.810223488,0.583952748,-0.0543398221,0.0544359,40.5239,-735.744,-449.415,860.595334,324.665,72.4684,2.34132,liggghts_pair_gran_local,dyne
pilot_final,61,83,-0.118971638,0.757535504,-0.641861129,-0.0148152904,0.0148084,-0.0282729,-0.471475,0.238158,0.50665932,21.9302,81.9558,-16.2518,liggghts_pair_gran_local,dyne
pilot_final,3,88,0.612702507,0.398828321,-0.682298767,-0.372134613,0.372123,-373.885,-185.161,292,502.159224,84.8821,87.0524,-23.4387,liggghts_pair_gran_local,dyne
pilot_final,3,90,0.26940432,0.41783095,0.867662728,-1.28982988,1.28983,-866.963,-1318.96,-2830.39,3240.49704,74.4998,87.3501,22.1022,liggghts_pair_gran_local,dyne
pilot_final,25,10,-0.684120973,0.710980734,0.162741792,-0.113649707,0.114096,48.5911,-64.3344,7.41571,77.775925,134.804,74.1645,-29.9533,liggghts_pair_gran_local,dyne
pilot_final,58,86,0.271380556,0.0254196224,0.962136392,-0.220702796,0.22077,-4.49568,14.5281,-101.937,98.9281399,208.265,72.198,-20.0158,liggghts_pair_gran_local,dyne
pilot_final,58,84,0.550843316,0.834528829,0.0115445002,-1.09636661,1.09627,-548.892,-948.727,-50.3154,1094.67377,211.626,82.2618,-32.2737,liggghts_pair_gran_local,dyne
pilot_final,86,6,0.982354159,0.0620540152,-0.176435837,-0.773884702,0.773008,-1454.72,-240.352,337.109,1503.44851,224.304,73.3179,-9.86659,liggghts_pair_gran_local,dyne
pilot_final,86,80,-0.648032573,0.757323627,-0.08071374,-0.201914083,0.202308,64.4769,-59.7865,-3.45715,86.7816408,203.404,82.2945,-8.65533,liggghts_pair_gran_local,dyne
pilot_final,86,27,-0.468213882,0.140460212,0.8723799,-0.701732576,0.701953,258.823,-167.575,-477.039,560.881569,205.84,74.3024,3.42063,liggghts_pair_gran_local,dyne
pilot_final,86,22,0.302509245,0.771254114,0.560049327,-0.387559625,0.387305,-63.7208,-187.094,-118.384,229.873807,215.637,82.4025,-0.442085,liggghts_pair_gran_local,dyne
pilot_final,6,63,0.831530575,-0.383520011,-0.401832433,-0.438726748,0.439319,-621.445,235.268,92.4847,644.142694,277.935,63.7578,-26.9964,liggghts_pair_gran_local,dyne
pilot_final,6,84,-0.817933222,0.41197159,-0.401577704,-0.503865787,0.503572,605.718,-454.961,268.039,790.506082,228.994,87.3603,-26.9706,liggghts_pair_gran_local,dyne
pilot_final,6,1,0.412508553,-0.757612557,0.505825966,-0.207300419,0.207341,-2802.56,6031.6,-3284.34,7387.00266,265.577,52.4961,0.0579229,liggghts_pair_gran_local,dyne
pilot_final,6,14,-0.478491686,-0.070512919,0.875256325,-0.0158851826,0.0158347,70.5913,12.8325,-114.634,135.016553,238.894,73.0313,11.1846,liggghts_pair_gran_local,dyne
pilot_final,88,10,0.970391985,-0.172090841,0.169481972,-0.335381501,0.335143,-395.325,35.5275,-10.7055,391.548854,105.257,89.9793,-30.0524,liggghts_pair_gran_local,dyne
pilot_final,10,34,0.656085021,0.174794583,0.734165716,-0.43841218,0.438454,-351.509,-56.9725,-470.367,585.906126,134.178,90.017,-14.0066,liggghts_pair_gran_local,dyne
pilot_final,10,94,0.980419478,0.113995061,-0.160570149,-0.00918364612,0.00986637,-1.93163,-0.184746,0.391683,1.97775685,140.177,88.9665,-29.9241,liggghts_pair_gran_local,dyne
pilot_final,34,47,0.970268837,-0.0564940831,-0.235344007,-0.030908726,0.0309479,-4.71157,0.985566,2.40102,5.19223071,155.185,91.5236,-7.65325,liggghts_pair_gran_local,dyne
pilot_final,34,15,-0.430311512,-0.343579843,0.834736422,-0.224620696,0.224446,124.078,50.0303,-172.519,214.589235,137.032,87.823,6.17549,liggghts_pair_gran_local,dyne
pilot_final,34,23,0.626973741,-0.474300511,0.618015334,-0.730999158,0.73126,-453.635,240.875,-319.909,596.371636,150.507,86.2647,3.21089,liggghts_pair_gran_local,dyne
pilot_final,94,47,0.572190986,0.0131691696,0.820014663,-0.0226596502,0.0223314,-1.83734,-0.110905,-2.59725,3.18255231,160.351,90.619,-21.36,liggghts_pair_gran_local,dyne
pilot_final,47,67,0.559006743,0.0480993216,-0.827766825,-0.132691287,0.132508,-19.1973,-6.74673,42.2168,46.0015208,175.013,91.4122,-21.4151,liggghts_pair_gran_local,dyne
pilot_final,47,23,-0.361310584,-0.406271619,0.839284239,-0.110916183,0.110827,21.9534,12.9161,-26.2209,35.1863224,163.106,85.5311,0.155074,liggghts_pair_gran_local,dyne
pilot_final,47,33,0.497168338,0.0617931261,0.865450896,-0.0731679727,0.0734047,-9.30523,-5.2924,-16.1923,18.9669458,174.228,91.5912,0.51013,liggghts_pair_gran_local,dyne
pilot_final,67,80,0.495784251,0.001119213,0.868445003,-0.178284269,0.178406,-23.9481,3.73881,-69.0859,71.8662973,188.644,92.0488,-20.9088,liggghts_pair_gran_local,dyne
pilot_final,80,33,-0.557018358,0.0127511161,0.830402287,-0.198336942,0.19804,41.7301,-13.5163,-73.0171,84.0502458,187.859,92.2277,1.01643,liggghts_pair_gran_local,dyne
pilot_final,59,32,0.99518575,0.0196689678,0.0960127801,-0.696181099,0.69618,-545.276,18.0258,-121.661,553.977086,154.34,12.5081,9.36828,liggghts_pair_gran_local,dyne
pilot_final,59,21,0.280543637,0.0174636234,0.95968239,-0.770413363,0.770663,-266.992,-57.7489,-593.225,645.216226,145.288,12.4795,20.2597,liggghts_pair_gran_local,dyne
pilot_final,32,95,0.937207908,0.00168972495,0.348767089,-0.552071319,0.552259,-391.073,-68.5993,-71.02,391.402254,178.856,12.7784,15.0207,liggghts_pair_gran_local,dyne
