stage_id,target_rho_total,actual_rho_total,current_height_um,particle_id,type,shape,material,x_um,y_um,z_um,r_um,rotation_rad,vx_cm_s,vy_cm_s,vz_cm_s,contact_count
pilot_final,0.485828742,0.485828742,105,44,1,Al,Al,71.691,14.0878,-7.17224,13,0.0,-26.6578,-0.764477,-8.38486,1
pilot_final,0.485828742,0.485828742,105,74,1,Al,Al,120.578,12.0343,-32.7135,13,0.0,-0.000174643,0.000279766,0.000163115,1
pilot_final,0.485828742,0.485828742,105,18,1,Al,Al,155.017,12.4959,-13.5298,13,0.0,-6.22809e-06,0.000228834,0.000291211,3
pilot_final,0.485828742,0.485828742,105,71,1,Al,Al,191.737,13.0516,-29.2584,13,0.0,8.17811,1.35864,-0.786635,0
pilot_final,0.485828742,0.485828742,105,16,2,DS,Diamond,212.532,17.9416,-1.53902,18,0.0,5.83876e-05,2.2579e-05,0.00022517,5
pilot_final,0.485828742,0.485828742,105,54,1,Al,Al,217.337,21.4041,-31.9844,13,0.0,2.84829,-1.27442,0.167691,0
pilot_final,0.485828742,0.485828742,105,11,2,DS,Diamond,244.813,17.8693,-17.3034,18,0.0,3.15454e-05,-1.92159e-06,-0.000101806,4
pilot_final,0.485828742,0.485828742,105,20,1,Al,Al,274.28,12.9887,-25.5615,13,0.0,9.53316e-05,-8.12033e-05,1.50384e-05,2
pilot_final,0.485828742,0.485828742,105,45,1,Al,Al,307.868,11.6039,-7.55665,13,0.0,7.35037e-06,-1.37839e-05,-2.35024e-06,3
pilot_final,0.485828742,0.485828742,105,81,1,Al,Al,309.971,12.7734,-32.5551,13,0.0,1.60085e-05,-5.90764e-06,-2.98971e-07,2
pilot_final,0.485828742,0.485828742,105,96,1,Al,Al,349.494,13.0384,-23.7642,13,0.0,-9.67673,3.22932,-64.7752,0
pilot_final,0.485828742,0.485828742,105,38,1,Al,Al,380.527,12.9999,-25.2615,13,0.0,-3.59564,-0.0337262,-7.3337,1
pilot_final,0.485828742,0.485828742,105,8,2,DL,Diamond,29.8261,29.7556,-15.0769,30,0.0,6.32783e-05,-2.24096e-05,-2.52867e-05,1
pilot_final,0.485828742,0.485828742,105,72,1,Al,Al,78.2351,23.4015,-31.7111,13,0.0,30.9592,37.5926,2.11447,0
pilot_final,0.485828742,0.485828742,105,5,2,DL,Diamond,117.427,43.6612,-5.59235,30,0.0,0.000134025,0.000173275,0.00117693,8
pilot_final,0.485828742,0.485828742,105,93,1,Al,Al,146.729,27.7611,-32.2699,13,0.0,-0.000233063,0.000429793,0.000196472,3
pilot_final,0.485828742,0.485828742,105,4,2,DL,Diamond,176.9,48.7684,-10.3208,30,0.0,0.000134877,0.000310192,0.000356329,11
pilot_final,0.485828742,0.485828742,105,56,1,Al,Al,222.733,47.1433,-3.51019,13,0.0,-2.6988,0.551994,-5.78853,2
pilot_final,0.485828742,0.485828742,105,92,1,Al,Al,212.699,47.648,-32.4523,13,0.0,0.00022623,-5.11879e-05,0.000243146,3
pilot_final,0.485828742,0.485828742,105,89,1,Al,Al,236.422,41.4227,-33.1487,13,0.0,0.000101151,-3.0569e-05,-7.32273e-05,3
pilot_final,0.485828742,0.485828742,105,62,1,Al,Al,289.715,32.862,-32.0068,13,0.0,4.73439e-05,-6.09291e-05,-1.81168e-05,3
pilot_final,0.485828742,0.485828742,105,2,2,DL,Diamond,326.174,48.1892,-15.1574,30,0.0,6.25891e-06,-8.2726e-06,-2.75898e-06,7
pilot_final,0.485828742,0.485828742,105,78,1,Al,Al,386.75,37.3583,-31.8889,13,0.0,-2.54373,1.56292,0.755735,1
pilot_final,0.485828742,0.485828742,105,60,1,Al,Al,385.147,39.2501,-4.77352,13,0.0,-12.5091,33.1753,12.8233,0
pilot_final,0.485828742,0.485828742,105,91,1,Al,Al,13.1093,66.6581,-31.9997,13,0.0,-0.115543,1.45148,0.0860082,0
pilot_final,0.485828742,0.485828742,105,61,1,Al,Al,23.476,72.1134,-7.91242,13,0.0,-12.1365,-8.61694,3.30873,1
pilot_final,0.485828742,0.485828742,105,3,2,DL,Diamond,66.6601,75.1911,-3.14686,30,0.0,-0.000120969,-2.00015e-05,0.000668183,4
pilot_final,0.485828742,0.485828742,105,25,1,Al,Al,143.665,64.9556,-32.0612,13,0.0,-4.24817e-05,0.000217436,0.00010689,3
pilot_final,0.485828742,0.485828742,105,58,1,Al,Al,204.767,71.8704,-32.4174,13,0.0,0.000254743,-5.27458e-05,0.000191418,4
