artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,candidate_pass,1.0,-0.4264560457709529,0.4264560457709529,0.0,decreasing,C,18.0,2,0.7,285.49102,0.010270717362743764,0.6193591364857589,0.6296298538485027,increasing,0,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,candidate_pass,1.0,-0.4264560457709529,0.4264560457709529,0.0,decreasing,C,18.0,3,0.7,285.49102,0.010270717362743764,0.6193591364857589,0.6296298538485027,increasing,0,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,0.010270717362743764,0.6193591364857589,0.6296298538485027,increasing,0,review,0.05,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.4219800127133863,0.4219800127133863,0.0,decreasing,C,18.0,2,0.7,285.49102,-0.03647027520174895,0.6696810204229691,0.6332107452212201,decreasing,0,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.4219800127133863,0.4219800127133863,0.0,decreasing,C,18.0,3,0.7,285.49102,-0.03647027520174895,0.6696810204229691,0.6332107452212201,decreasing,0,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.4101221522889232,0.4101221522889232,0.0,decreasing,C,18.0,2,0.7,285.49102,-0.0422569415945776,0.7200854253176628,0.6778284837230852,decreasing,0,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.4101221522889232,0.4101221522889232,0.0,decreasing,C,18.0,3,0.7,285.49102,-0.0422569415945776,0.7200854253176628,0.6778284837230852,decreasing,0,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.3804934321731804,0.3804934321731804,0.0,decreasing,C,18.0,2,0.7,285.49102,-0.013607556203038884,0.7593609224265025,0.7457533662234637,decreasing,0,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.3804934321731804,0.3804934321731804,0.0,decreasing,C,18.0,3,0.7,285.49102,-0.013607556203038884,0.7593609224265025,0.7457533662234637,decreasing,0,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_participation_increase,1.0,-0.45068033247466666,0.45068033247466666,0.0,decreasing,C,18.0,2,0.7,285.49102,-0.06051737496911358,0.9155515105405332,0.8550341355714196,decreasing,0,review,1.0,1,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.03647027520174895,0.6696810204229691,0.6332107452212201,decreasing,0,review,0.1,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.0422569415945776,0.7200854253176628,0.6778284837230852,decreasing,0,review,0.25,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.013607556203038884,0.7593609224265025,0.7457533662234637,decreasing,0,review,0.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.9207800863958726,0.45068033247466666,1.3714604188705393,increasing,C,18.0,2,0.7,285.49102,-0.11414085412289166,0.9155515105405332,0.8014106564176415,decreasing,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.9733673760075,0.0,0.9733673760075,increasing,C,18.0,3,0.7,285.49102,-0.11414085412289166,0.9155515105405332,0.8014106564176415,decreasing,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.11414085412289166,0.9155515105405332,0.8014106564176415,decreasing,0,review,0.75,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,0.7,285.49102,-0.06051737496911358,0.9155515105405332,0.8550341355714196,decreasing,0,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.06051737496911358,0.9155515105405332,0.8550341355714196,decreasing,0,review,1.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.3863534791553739,0.45068033247466666,0.8370338116300405,increasing,C,18.0,2,0.7,285.49102,-0.04097762953672346,0.9155515105405332,0.8745738810038097,decreasing,0,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.8370338116300405,0.0,0.8370338116300405,increasing,C,18.0,3,0.7,285.49102,-0.04097762953672346,0.9155515105405332,0.8745738810038097,decreasing,0,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.8370338116300405,0.0,0.8370338116300405,increasing,C,18.0,4,0.7,285.49102,-0.04097762953672346,0.9155515105405332,0.8745738810038097,decreasing,0,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.5504747237367079,0.3554786861005611,0.905953409837269,increasing,C,18.0,2,0.7,285.49102,-0.05683625194355646,0.9522284221782965,0.89539217023474,decreasing,0,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.905953409837269,0.0,0.905953409837269,increasing,C,18.0,3,0.7,285.49102,-0.05683625194355646,0.9522284221782965,0.89539217023474,decreasing,0,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.05683625194355646,0.9522284221782965,0.89539217023474,decreasing,0,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.16627440334066113,0.1943804166014959,0.36065481994215703,increasing,C,18.0,2,0.7,285.49102,-0.032860147315707744,0.9777651709112933,0.9449050235955856,decreasing,0,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.36065481994215703,0.0,0.36065481994215703,increasing,C,18.0,3,0.7,285.49102,-0.032860147315707744,0.9777651709112933,0.9449050235955856,decreasing,0,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,0.6666666666666666,0.36065481994215703,0.0,0.36065481994215703,increasing,C,18.0,4,0.7,285.49102,-0.032860147315707744,0.9777651709112933,0.9449050235955856,decreasing,0,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.6993565428219328,0.8123891687902602,0.11303262596832736,decreasing,0,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.6993565428219328,0.8123891687902602,0.11303262596832736,decreasing,0,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.6918603599231972,0.8123891687902602,0.12052880886706312,decreasing,0,review,0.1,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.6918603599231972,0.8123891687902602,0.12052880886706312,decreasing,0,review,0.1,1,review
