artifact,diamond_size_case,seed_index,e_al_emax_gpa,mu_scale,al_radius_um,diamond_ds_radius_um,diamond_dl_radius_um,diamond_count_ds,diamond_count_dl,al_area_fraction,diamond_area_fraction,p95_mpa
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed0,D,0,32.737,0.539,13.0,0.0,30.0,0,11,0.398903934,0.601096066,488.321984
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed1,D,1,32.737,0.539,13.0,0.0,30.0,0,11,0.398903934,0.601096066,542.493727
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed2,D,2,32.737,0.539,13.0,0.0,30.0,0,11,0.398903934,0.601096066,622.539954
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed0,D,0,32.737,0.77,13.0,0.0,30.0,0,11,0.398903934,0.601096066,547.129746
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed1,D,1,32.737,0.77,13.0,0.0,30.0,0,11,0.398903934,0.601096066,629.009306
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed2,D,2,32.737,0.77,13.0,0.0,30.0,0,11,0.398903934,0.601096066,479.676329
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed0,D,0,37.517,0.539,13.0,0.0,30.0,0,11,0.398903934,0.601096066,546.822616
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed1,D,1,37.517,0.539,13.0,0.0,30.0,0,11,0.398903934,0.601096066,610.438964
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed2,D,2,37.517,0.539,13.0,0.0,30.0,0,11,0.398903934,0.601096066,686.994741
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed0,D,0,37.517,0.77,13.0,0.0,30.0,0,11,0.398903934,0.601096066,620.517593
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed1,D,1,37.517,0.77,13.0,0.0,30.0,0,11,0.398903934,0.601096066,667.204086
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed2,D,2,37.517,0.77,13.0,0.0,30.0,0,11,0.398903934,0.601096066,620.578088
